CURRENT CUSTOMERS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
ORGS,CONTACTS,REGION,VERTICALS,COMPETITORS,PROGRAM,NOTES,,,,,,,
INSURANCE COMPANIES  ,,,,,,,,,,,,,
GEICO,,,,,,,,,,,,,
Cover Whale,,,,"Nexar, ",,,,,,,,,
Moter (AIOI & Mitsui Sumitomo) AND-E,"Alan Adkins, VP Commerical Auto",,,"Netradyne, SmartDrive",,AIOI Nissay Dowa - Toyota - 5th Largest insurance company,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TSPs and OTHER RESELLERS,,,,,,,,,,,,,
GPS Insight,"Charles Kriete  CEO, Rob Welch - VP Channel & Partnerships",,,,,,,,,,,,
Descartes,,,,,,,,,,,,,
GPS Trackit,,,,,,,,,,,,,
Orion Fleet Intelligence,,,,,,,,,,,,,
Acetech,,,,,,,,,,,,,
Moter.ai,"Michael O'Sheas COO, Alan Adkins UW & VP Risk",,,,,,,,,,,,
Acetech,Lex Abbott,,,,EMS - Ambulance,,,,,,,,
Traxero,,,,,,Working with Roadzen,,,,,,,
Gorilla Safety,,,,,,,,,,,,,
Prometheus,Carlos Landrian - CIO,,,,,,,,,,,,
RPM Global Connect,"Ryan McDonald, CEO",US, , , ,"Azuga, Motive.  Regrets both. Partner with EZ Fleet. Partner with Greater Than. Own QEO Insurance relationship",,,, ,,, 
Konexial,"Ken Evan - CEO, Jerry D'Addesi - CRO",,,,,,,,,,,,
Add On Systems,"Quek Song, John Piper, Jeff Brinch",US/CAN, , , ,"Lytx, Netradyne", , , ,,,, 
eTrucks,Fred Amaya ,US/CAN,,,,Heavy in Calss 8 Trucking,,,,,,,
Prophecta,"Anatoly  Volkhover, CTO, Vasily Nikolaev, CEO", Global , , , ,Ship EU units (2) for Saudi opportunity,,2025-04-01 00:00:00,"Anatoly Volkhover, CTO ",US/ME,,,
EZ Fleet Tracking,"Geoff Weathersby, COO, Rich Pearlman, VP Sales",Global, , , , ,Training Meeting. Send updated contract & pricing,2025-05-01 00:00:00,"Geoff Weathersby , COO",US,"Samsara, Korean Camera - not good fit for non bus", ,Work with Geotab on occassion
Tourmo,Marc Brungger – CEO,,,,,,,,,,,,
,,,,,,,,,,,,,
MGAs  ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BROKERS,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
RISK MANAGEMENT CONSULTANTS,,,,,,,,,,,,,
