GEOTAB RESELLER PROSPECTS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
ORGS,PRIORITY,BD Rep,Geotab BDM/PAM,CONTACTS,REGION,VERTICALS,COMPETITORS,PROGRAM,NOTES
,,,,,,,,,
TSPs and OTHER RESELLERS,,,,,,,,,
Transflo / ATI,,JD ,,Renee Krug CEO & Frank Pellitta President,,,,,Geotab Reseller - Xtract has 9 fleets with Transflo per Tim M.
Barcoding,,JD ,,,,,,,Geotab Reseller
Rush Enterprises,,JD ,,,,,,,Geotab Reseller
Enterprise Fleet Management,,JD,,,,,,,Geotab Reseller - FMC
Wheels,,JD,,,,,,,Geotab Reseller - FMC
Holman ,,JD,,,,,,,Geotab Reseller - FMC
Ryder,,JD ,,,,,,,Geotab Reseller - FMC
Penske,,JD,,,,,,,Geotab Reseller - FMC
Wex,,JD,,,,,,,Geotab Reseller - FMC
Northern BI (Business Intelligence),,JD ,,"Dwayne Primeau  CEO, Rod Kerr (CEO of Kerr Group)",CAN & US,,"Rosco, Sensata, Lytx",,Geotab Reseller
Gridline,,JD ,,,,,,,Geotab Reseller
Utilimarc,,JD,,,,,,,
Attrix,,JD,,"Anthony Mainville  President, Louis-Philippe Papillon  VP Technology",CAN,,"Go sight on-board camera, Light Metrics",,Geotab Reseller
Bell Canada,,,,,CAN  ,,,,Geotab Reseller
Rogers,,,,,CAN,,,,Geotab Reseller
Vodafone,,,,,EU,,,,Geotab Reseller 
 ,,JD,,"Angelique Magi, VP - Head of Insurance",,,,, 
Zubie,,,,,,,Ravem,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Azuga /Bridgestone,,JD,,"Ryan Briggs - VP Insurance; Tom Erdman - EVP Sales/BD; JD Hassan, Director Insurance",,,Surfsight,,Geotab Reseller
Georforce,,AM,,"James Maclean III CEO; Chris Gardner CTO, John Roberson VP Product",,,Surgsight?,,Geotab Reseller
T-Mobile,,JD ,,,,,,,Geotab Reseller
Tellus,,JD ,,,,,,,Geotab Reseller
Shell,,,,,,,,,Geotab Reseller 
Fleet Hoster,,AM,,Michael Head  CEO,,,,,Partnered with Roadezy - Todd Palumbo
Fleetistics,,AM,,Eron Iler   CEO,,,Surfsight,,
Fleet Wolf,,JD / JV,,Randy Thomas,US,,,,
LEVL,,JD ,,"Andrew Pearce, Jan O'Hara",UK,,Lytx/Surfsight,,Geotab Reseller  - Jim knows them. Good UK co.
Fleetistics,,AM,,Ron Iler - President,,,,,
Continumm,,JD,,,,,,,
Geosecure ,,,,,"AUS, NZ",,,,
Geography,,,,,US,,,,
Fleet Nav Systems,,JD,,"Thane Doremire - Founder, Dan Pokorny - CCO",,,,,
Fleetster,,JD,,Tim Ruhoff - CEO,,,,,
Didcom (LATAM),,JD,,"Yojanan C.Chait - CEO, Robert Bojorquez - CRO",LATAM,,,,
Traxxis,,JD,,"Michael Vermillion - President, Andres Bejerano - VP",,,Surfsight   ,,
FleetBoss,,JD,,"Brian Carroll President, Tony Dominguez Sr Flt Tech",,,"GPS insight, EZ Fleet, FleetHoster  Samsara strategic partners???  2/16 - sent note and booth #",,
Metrica Movil,,JD,,"Eduardo Allegre - CEO, Daniel Amarante ",LATAM,,,,
Navisaf,,JD,,David Escobar - CEO,LATAM (Columbia),,,,Greater Than is new partner - May 2025
Barcoding,,JD,,Rocy Pugliese - National Account Manater,CAN & US,,Surfsight,,
FleetNet America (Cox Automotive),,JD,,"Don Doty, Director - CEO",,,,,
GPS Fleet Management Solutions, ,JD,,"Eric Counts - Manging Member, Renee Depuydt, Dir Sales",,,,,
Argos Connect Solutions,,JD,,"Bobby Humphrey - CEO, Scott VanMeter - Pres, ",,,,,
Jim Pattison Lease,,JD,,"Mike Eppel, Manager Fleet Innovation",,,,,
USA Fleet Solutions,,JD,,"Paul Yarborough - CTO, Steve Yarborough - COO",,,"Surfsight, Mobileye",,
Mike Albert Fleet Solutions, ,JD,,Sarah Richey - Mgr Pdts & Impltn - Lars Nielsen,,,Xirgo,,
Geotrac,,JD,,"Wayne Fee - Director, Craig Blinco - Director",,,,,
Gofleet,,JD,,Adrian Aymont - Success Manager,,,Streamax,,
Fleetworthy,,JD,,Carol Sykes Dir of Partnerships & Strategic Mktg,,,Samsara,,Drivewyze
Axon,,,,,,,,Public Sector ,Big
Airiq,,AM,,,,,Lytx/Surfsight,,
