GEOTAB RESELLER ENGAGED,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
ORGS,STATUS,NDA,INITIAL MEETING DATE,POC,DEMO UNITS,DEV KIT,NEXT ACTION,PROJECTED CLOSE DATE,CONTACTS,REGION,COMPETITORS,PROGRAM,NOTES
,,,,,,,,,,,,,
GEOTAB RESELLERS,,,,, ,,,,,,,,
,,,,,,,,,,,,,
Envue,Prospect,YES,2024-12-18 00:00:00,Working On,TBD,NOT YET,Envue looking for veh to test.  Sent details to begin,2025-05-15 00:00:00,Randy Reed - CEO,US/CAN,"Samsara, Netradyne, Azuga, Lytx, Surfsight, Sensata",Light on Class 8 Trucking. Partner with Descartes for Routing. Partnering with Greater Than,
Element,Prospect,YES,2025-03-14 00:00:00,In Progress,1,NOT YET,Awating Kim installation per Jason,,"Kim Clark, Angelique Magi, VP - Head of Insurance",,,,
,,,,,,,,,,,,,
LOST,,,,,,,,,,,,,
BlueArrow Telematics,LOST,YES,2024-11-19 00:00:00,YES,3,YES,Blue Arrow evaluating. Baker Roofing if successful. Set Training Call ,2025-04-15 00:00:00,"Stuart Lamm - CEO, Dallas Owens",US/CAN,"Lytx, Roscoe, Sensata",Hanover Insurance,
Advantage One,Prospect,YES,2024-12-11 00:00:00,YES,3,YES,Advantage pausing - not ENT ready.  Post mortem to be scheduled,2025-04-15 00:00:00,Andew Kopecki,US/CAN,"Lightmetics-Mitac, VisionTrak, Surfsight, Sensata",HDVI Insurance,
,,,,,,,,,,,,,
EJ Ward,Prospect,,,,,,,,,,,,
CAN-AM Telematics,Prospect,,,,,,,,,,"VueDrive, Lytx/Surfsight, Netradyne, Samsara",,
Penske Truck Leasing,Prospect,,,,,,,,"Mike Kelly, Vince Vanszl - Manager Ongoard Sytms",,,,
US Cellular,Prospect,,,,,,,,,,,,
FleetNet America by Cox Automotive,Prospect,,,,,,,,,,,,
Bell Canada,Prospect,,2025-03-18 00:00:00,,,,,,,,,,
High Point GPS,Prospect,,2025-02-27 00:00:00,,,,"3/4/25 - brochure, NDA sent",,Israel Margulies - CEO,,,,
Transflo,Prospect,,,,,,,,,,,,
AttriX Technlogies,Prospect,,,,,,,,,,,,
Telus,Prospect,,,,,,,,,,,,
Vehicare,Pospect,,,,,,,,Keith Pennington,,,,
GM ,Prospect,,,,,,,,Daniel Xing,,,,
Geoforce,Prospect,,,,,,,,Chris Dow - Product & Solutions Mgr,,,,
Roadflex,Prospect,,,,,,,,,,,,
impac,Prospect,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Safety First,Prospect,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Descartes,Customer,YES,Ken Currie BD ,US/CAN,,,,,,,,,
GPS Insight,Customer,,,,,,,,,,,,
Asset Works,Customer, ,,,,,, ,,,,,
