Insurance BD - Partners (Prospects & Current) - INTERNAL,Unnamed: 1,Unnamed: 2,"Insurance Companies, MGA's Brokers, Risk Management Consultants & TSPs/other Resellers",Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,,,,,,,,,,,,,,,,,,,,,
PROSPECTS,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ORGS,PRIORITY,BD Rep,,CONTACTS,REGION,VERTICALS,COMPETITORS,PROGRAM,NOTES,VEHICLES  ESTIMATIONS,,,,,,,,,,,,,,,
INSURANCE COMPANIES  & MGAs,,,,,,,,,,,,,,,,,,,,,,,,,
Travelers (Northland),,JD,Tech Stack,"Nicole Ericson. Lyndsey Pinney, Pam Maros;  Bruno Sardinha - Sr VP, Chief Innovation Officer; Chris Hayes, Risk Control AVP; Phillip Wigginton Risk Control Leader",US ,"Mix, big Trucking Program ",,,https://www.northlandins.com/,,,,,,,,,,,,,,,,
Progressive Smart Haul,,JD,Tech Stack,"Luke Harmer, CL Telematics Program Manager, Bob Bringghold, National Director of Transportation Risk Contol",US,"Trucking, Dumptruck, Towing","Samsara, Motive, BigRoad",SmartHaul Trucking,Work through Geotab PM & Insurance team,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Nirvana,,JD,Tech Stack,Rushil Goel - CEO,US,Trucking,"Motive, Samsara","Quotes, Discount. Monetization of CRI",,,,,,,,,,,,,,,,,
GMI Insurance ,,AM ,Non-Tech Stack,Shawn Hall   COO,,,,,connection request LI sent 3/17,,,,,,,,,,,,,,,,
Producers National ,,AM,Non-Tech Stack,"Stan Turbyfill, vp insurance risk and claims ",,,,,"LI note to stan--1st level, knew at drivecam",,,,,,,,,,,,,,,,
Protective (owned by Progressive),,AM,Tech Stack,"Harry Strock, Director LC",,,,,Tech Stack via Progressive,,,,,,,,,,,,,,,,
Fairmatic ,,JD,Non-Tech Stack,"Brian Specht Chief Business Officer, Dan Jordan , Surag Manikund",,,,,ITC 2024 - Brian not ready for cameras – trying to launch with telematics first ,,,,,,,,,,,,,,,,
Great West ,,AM,Non-Tech Stack,"Steven Ponder, SR. VP; Steve Cross, VP Data/Analytics",,,,,LI note 3-17 sent,,,,,,,,,,,,,,,,
Liberty Mutual,,JD,Referrals,"Tyke Frazier, Product Director Risk Control; Mike Sample Tech Director, Risk Control ",US ,Mix,,,Exploring pilot ,,,,,,,,,,,,,,,,
Zurich,,AM,Referrals,"Yvonne Miller, Head of Strategic Vendor Relationships",US ,,,Preferred Vendor,,,,,,,,,,,,,,,,,
Chubb,,JD,Non-Tech Stack,"Jenn Guerrini, VP Executive Transportation & Commercial Auso Specialist Diversity, Jarod Young, Sr. Property & Casualty Risk Engineer",Global,"Mix, Trucking, Energy",,Preferred Vendor Referrals,,,,,,,,,,,,,,,,,
AVIVA,,JD,Non-Tech Stack,,Global,Mix,,,Exploring telematics program for UW,,,,,,,,,,,,,,,,
Westfield Insurance,,AM,,Dusti Singletary  Sr. Mgr. Risk & Insurance\,,,,,3/17  LI Note 1st,,,,,,,,,,,,,,,,
OOIDA Truck Insurance,,JD,,,,,,,,,,,,,,,,,,,,,,,
Crum & Forster,,AM,,Jeff Roth UW,US,Trucking,"Motive, Lytx",Trucking,Farifax Group Ins Co,,,,,,,,,,,,,,,,
DMC Insurance (owned by C&F),,AM,,"Joel Paska, Director of Risk Engineering",,,,,,,,,,,,,,,,,,,,,
AXA XL,,,,"Greg Simotas, Claims Supervisor",Global,Mix,"Samsara, Arity Partner for LMD in Waste",,Arity & Marsh US LMD program,,,,,,,,,,,,,,,,
The Hartford,,AM,,"Dan Campany Head of Risk Control, Steve Rippel, Risk EWNginering, Catherin Beton UW",US,Mix,,,,,,,,,,,,,,,,,,,
Nationwide,,AM,,????? since Pete left,US,Trucking,"CMT, Azuga, Zubie",Subsidy + Premium Discount,,,,,,,,,,,,,,,,,
Flock,,JD,,"Ed Leon Klinger - CEO, Anto Pena - Co-Founder",EU/UK,Last Mile Delivery,,Premium Discount,,,,,,,,,,,,,,,,,
Intact Specialty,,JD,Non-Tech Stack,"Sukjuit Dhaliwal, Director, Jennifer Taylor, Director cL, Mobina Saleh, CL Manager",CAN,Trucking,BigRoad (leaving),Program reboot - like video,Largest CAN Insurance Co.,,,,,,,,,,,,,,,,
Arch,,AM,,Greg Stefan ,Global,Trucking,No legacy TSP Program,Referral Focus,AM good contact- pursue with LifeSaver,,,,,,,,,,,,,,,,
Skyward Insurance,,AM,,Alan Fugler,US,Pest,,,"good contact, pursue with LifeSaver",,,,,,,,,,,,,,,,
Northbridge,,AM,,Todd MacGillivray  Sr. VP Transportation,CAN,Trucking,,,LI con req 3/17,,,,,,,,,,,,,,,,
Mapfre insurance,,AM,,,MEX,,,,,,,,,,,,,,,,,,,,
Acadia,,AM ,,"Lyndsay Woods, Scott Mead, Lisa McPhail",US,,,,,,,,,,,,,,,,,,,,
Berkley,,AM,,,,Trucking,,Own Carolina Casualty and others,,,,,,,,,,,,,,,,,
Carolina Casualty,,AM,,"Kara deBorde, VP Risk Mgmt",,Trucking & Bus,,Owned by Berkley,LI Note 3/17 (1st),,,,,,,,,,,,,,,,
Berkley Prime Transportation,,AM,,David Lockhart  President (a berkley company),,Trucking,,,ITC 2024 - Brian not ready for cameras – trying to launch with telematics first ,,,,,,,,,,,,,,,,
Berkley Oil & Gas,,AM,,"Phillip Crawley, VP",,Mix,,,Alan knows via LifeSaver,,,,,,,,,,,,,,,,
,,,,Dan O'Brien  VP Safety and Risk Control,,,,,sent LI dm (1st),,,,,,,,,,,,,,,,
Berkley Construction Professional,,AM,,,,,,,,,,,,,,,,,,,,,,,
Gemini Transportation UW,,AM,,Jason Lewis  President,,Trucking,,,LI dm sent 3/17,,,,,,,,,,,,,,,,
C3 Insurance,,,,,,,,,,,,,,,,,,,,,,,,,
Crum & Forster ,,JD,,,,,Motive,,,,,,,,,,,,,,,,,,
Tokio Marine,,JD,,,,,Nexar (Japan),,,,,,,,,,,,,,,,,,
eTechnology Services,,JD,Referrals,"Kevin Seth, President",US,"Energy, Towing Svcs, Waste & Crane",Netradyne,,,,,,,,,,,,,,,,,,
Hanover Insurance Group,,AM,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia ,,AM,,,,,Azuga,,80k dongles with Azuga,,,,,,,,,,,,,,,,
Skyward ,,AM,,,,,,,,,,,,,,,,,,,,,,,
OpenEyes,,AM,,"Gary Flaherty, CIO",,,,,Insurer mandating dashcams,,,,,,,,,,,,,,,,
Mitsui Sumitomo   ,,JD,,,,,,,,,,,,,,,,,,,,,,,
Trucking Proud Insurance,,,,,,,,,Affiliated with Lightship Neuroscience,,,,,,,,,,,,,,,,
Motor Transport Mutual RRG,,,,,,,,,,,,,,,,,,,,,,,,,
Acuity,,AM,,,,"Class 8, LMD, Busess and PPTs",,,"no contact, nothing relevant in LI",,,,,,,,,,,,,,,,
Quanata (State Farm),,AM,,"Haden Kirkpatrick  Strategy, Innovation",,,,,LI dm sent 3/17,,,,,,,,,,,,,,,,
Pouch Insurance,,JD,,Lee Lanuncha,,,,,,,,,,,,,,,,,,,,,
Sentry ,,AM,,"Dan Clements, Sr Director of Sales, UW and Market Development; Steve Bojan, Director of Transportation Safety & Loss Control",,,,,,,,,,,,,,,,,,,,,
Berkley Environmental,,AM,,"Kevin White, AVP Risk Management",,,,,,,,,,,,,,,,,,,,,
Mobilatas,,JD,,,,,,,,,,,,,,,,,,,,,,,
Y-Risk (Hartford Rideshare),,JD,,,,,,,,,,,,,,,,,,,,,,,
Grange Insurance,,AM,,Steve Pominville  Dir risk control,,,,,,,,,,,,,,,,,,,,,
Protective (owned by Progressive),,AM/JD,,Harry Storck,,,,,,,,,,,,,,,,,,,,,
Arity,,,,Gary Hallgren,,,,,,,,,,,,,,,,,,,,,
Heffernan,,,,Mark Herring,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Flock,,,,,UK/EU,Commercial fleet insurtech (UBI),,Connected car / telematics‑driven pricing for fleets,,,,,,,,,,,,https://flockcover.com/,,,,,Flock
Zego,,,,,UK/EU,Commercial UBI insurtech,,Pay‑as‑you‑go & fleet insurance; telematics‑based risk,,,,,,,,,,,,https://www.zego.com/,,,,,Zego
By Miles,,,,,UK/EU,Pay‑per‑mile insurer,,Uses mileage and connected data,,,,,,,,,,,,https://www.bymiles.co.uk/,,,,,By Miles
Admiral LittleBox,,,,,UK/EU,Telematics motor product,,Telematics (‘LittleBox’/‘LittleBox Pod’) program,,,,,,,,,,,,https://www.admiral.com/black-box-insurance,,,,,Admiral LittleBox
Direct Line DrivePlus,,,,,UK/EU,Telematics motor product,,App/plug‑in based telematics for young drivers,,,,,,,,,,,,https://www.directline.com/car-cover/driveplus-telematics,,,,,Direct Line DrivePlus
insurethebox (Aioi Nissay Dowa),,,,,UK/EU,Telematics motor insurer,,Black‑box motor insurance (Toyota group),,,,,,,,,,,,https://www.insurethebox.com/,,,,,insurethebox (Aioi Nissay Dowa)
