Insurance BD - Partners (Prospects & Current) - INTERNAL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Insurance Companies, MGA's Brokers, Risk Management Consultants & TSPs/other Resellers",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
PROSPECTS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ORGS,PRIORITY,NDA,INITIAL MEETING DATE,POC,DEMO UNITS,DEV KIT,NEXT ACTION,PROJECTED CLOSE DATE,,CONTACTS,REGION,VERTICALS,COMPETITORS,PROGRAM,NOTES
INSURANCE COMPANIES  & MGAs,,,,,,,,,,,,,,,
Great American - National Interstate - Vanliner,,YES,2025-02-10 00:00:00,,,,"4/10/25 meeting - Per Bri, not ready to take on new vendors at this time. Interest in School Bus though when AIRX ready. Chatting with Greater Than. Reconnect in summer 2025",2025-07-01 00:00:00,Tech Stack,"Pete Frey; Cynthia Corby Product Program Manager; Bri Jesionek, Market Strategy DIrector - Enterprise Telematics; Tim Brewster VP Loss Control; Jared Bishop  AVP Loss Control; Davi Slisz VP LMD",US ,Mix  ,"Lytx, Netradyne, iDrive, Azuga",,Meeting with Bri 1/27/25
HDVI,,YES,2024-12-17 00:00:00,,,,Product Meeting with HDVI ready,,Tech Stack,"Chuck Wallace, CEO, Reid Spitz, President",US,Trucking,"Motive, Samsara, Lytx, SmartDrive, Netradyne",Subsidy 100% video HW,Prefer Geotab + Netradyne
Draivn.com,,,Ongoing,,,,,,Tech Stack,Chris Carver,US/CAN,"Trucking, mix of programs",,"AVIVA, Zurich, RPS",
Intact Specialty,,,In Progress,,,,Awaiting confirmation of 1st meeting mid-MAR,,Non-Tech Stack,"Sukjuit Dhaliwal, Director, Jennifer Taylor, Director cL, Mobina Saleh, CL Manager",CAN,Trucking,BigRoad (leaving),Program reboot - like video,Largest CAN Insurance Co.
Pouch Insurance,,YES,2024-07-24 00:00:00,,,,Pushing to 2nd half of year. Working on video strategy,,,Lee Lanuncha,,,,,
Lancer Insurance,,YES, ,"Tim Delaney, Pres., Steven O'Shea VP Tech", , , ,,,,,,,,
Knightbrook (Novo Insurance),,No,,,,,,,,,,,,,
eMAXX (Energi),, ,Referrals,Stephen Botelho,US, , ,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BROKERS,,,,,,,,,,,,,,,
Acrisure (Wholesure),,YES,2024-07-24 00:00:00,,,,,,Non-Tech Stack,"Mark Tuchman - CEO, Andy Haynes",Global,Last Mile Delivery,,,
Marsh,,,2025-02-05 00:00:00,,,,Meeting at Geotab Connect,,Non-Tech Stack,"Dan Carroll, SVP, David Amadori National Program & Affinity Growth Leader, Clinton D'Souza, Sharing Economy SVP",Global,,,,
Lockton,,YES,2024-07-01 00:00:00,,,,,,Non-Tech Stack,"Preet Gill - EVP GLobal Technology Risk Practice Leader; Jon Finn, AVP Sr. Risk Control Consultant",Global,All - big in Trucking,,Transportatation - ENT to SMB,"Not bulding teck stack - bi directional referrals, Insurance MP, need broker tools"
TrueNorth,,,2025-02-04 00:00:00,,,,Meeting at Geotab Connect,,Non-Tech Stack,"Dan Cook, Principal & Practice Leader: Matt Rathje, COO; Bert Mayo, VP Transportation Risk Solutions, Jon Biblils, Sr. Safety & Loss Control Specialist, Bill Zenk, EVP Risk & Workforces Solutions",US,Trucking ,,Captives,Coordinate with Greater Than
Cottingham & Butler,,,2024-10-22 00:00:00,,,,,,Non-Tech Stack,"Chris Lowenberg, VP; Chad Hoppenjan, AVP at Safety Managment Services",US ,Trucking,,Captives,
,,,,,,,,,,"John Addy, Bob Howard",,,,,
,,,,,,,,,,,,,,,
FLEET CAPTIVES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RISK MANAGEMENT CONSULTANTS,,,,,,,,,,,,,,,
Bluewire,,?,,,,,,,,,,,,,
Automobility Advisors,,YES,2024-11-13 00:00:00,,, ,,,,,,,,,
,,,,,,,,,,,,,,,
"MAINTENANCE, REPAIR & FUEL",,,,,,,,,,,,,,,
Ridecell,,,2024-12-18 00:00:00,,,,,,,Heidi D'Angelo,,FMC focus,,,Condering how to bring Safety/Cameras into the platform
,,,,,,,,,,,,,,,
RISK MANAGEMENT  TECH & TELEMATICS,,,,,,,,,,,,,,,
Scoring & Collision Reconstruction,,,,,,,,,,,,,,,
GreaterThan,,YES,,,,,,,,Jim Noble ,,,,Safety & ESG,
Roadzen (Kruzr),,YES,,,,,,,,Pallav Singh & Ayan,,,,Safety,
AGM Technologies,,YES,,,,,,,,Steve Cowper,,,,Improved low crash detection,
Xtract,,YES,,,,,,,,Michael Flanagan - CEO & Tim Mcarthy - BD,,,,FNOL notify and advanced collision reconstruction,
Lightship Neuroscience,,,,,,,,,,Zech,,,,,
StreetScope,,YES,,,,,,,,Mark Goodstein - CEO,,,,,
Tourmo.ai,,YES,,,,,,,,Ricardo Silva - CRO,,,,AI Fleet Management Platform,Solution and Data Aggregator
RF Tracking (Steve Cowper),,YES,,,,,,,,,,,,,
Cognizant,,YES,,,,,,,,,,,,,
InsureVision,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FLEET MANAGEMENT ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VERTICALS,,,,,,,,,,,,,,,
