GVW_Class,Weight_Range_lbs,In_Operation,In_Fleet_Use,Fleet_Percentage,Notes
GVW 1,≤6000,8852000,429000,4.8%,Similar patterns to US
GVW 2,6001-10000,6151000,1150000,18.7%,Higher fleet % than US
GVW 3,10001-14000,479000,194000,40.5%,
GVW 4,14001-16000,93000,42000,45.2%,
GVW 5,16001-19500,114000,80000,69.9%,
GVW 6,19501-26000,66000,28000,43.1%,
GVW 7,26001-33000,127000,86000,68.0%,
GVW 8,>33000,574000,394000,68.6%,
U (Unclassified),-,11234000,301000,2.7%,
Total,,27689000,2704000,9.8%,Market ~10x smaller than US
