Acquiring_Company,Target_Company,Year,Country,Value_USD_Million,Business_Focus,Strategic_Impact
Trimble,@Road,2007,United States,N/A,Fleet Telematics,Technology acquisition
Trimble,Punch Telematix,2010,Belgium,N/A,Telematics,European technology
Trimble,Tata AutoComp Mobility Telematics,2010,India,N/A,Telematics,India market entry
Trimble,Yamei Electronics,2011,China,N/A,Telematics,China market entry
Trimble,PeopleNet,2011,United States,N/A,Fleet Management,Enterprise transportation and logistics
Trimble,GEOTrac Systems,2012,Canada,N/A,Fleet Management,Canadian market
Trimble,TMW Systems,2012,United States,N/A,Transportation Management,TMS capabilities
Trimble,Logicway,2012,Netherlands,N/A,Transportation Management,European TMS
Trimble,ALK Technologies (Trimble Maps),2013,United States,N/A,Mapping and Routing,Navigation technology
Trimble,Cadec,2015,United States,N/A,Fleet Management,Compliance solutions
Trimble,SOLID Transport,2015,France,N/A,Transportation Management,European logistics
Trimble,PocketMobile,2015,Sweden,N/A,Mobile Workforce,Field service management
Trimble,Innovative Software Engineering (ISE),2017,United States,N/A,Transportation Software,TMS capabilities
Trimble,10-4 Systems,2017,United States,N/A,Fleet Communication,Driver communication
Trimble,Veltec,October 2018,Brazil,N/A,Fleet Management,Brazil market entry
Trimble,Kuebix,January 2020,United States,N/A,Transportation Management,Cloud-based TMS
Trimble,Transporeon,April 2023,Germany,N/A,Transportation Management,Leading European platform
