Category,Manufacturer,New_Registrations_2023,YoY_Growth_Pct,Market_Share_Pct,Parent_Company,Notes
Light Commercial Vehicles,FCA (Stellantis),210800,11.5,45.9,Stellantis,Dominant market leader in Brazil LCVs
Light Commercial Vehicles,General Motors,56400,107.2,12.3,GM,Strong growth year-over-year
Light Commercial Vehicles,Volkswagen,54600,85.5,11.9,Volkswagen Group,
Light Commercial Vehicles,Toyota,46200,-4.9,10.1,Toyota,Slight decline
Light Commercial Vehicles,Ford,25700,44.0,5.6,Ford,
Light Commercial Vehicles,Renault,23500,6.7,5.1,Renault Group,
Light Commercial Vehicles,HPE,12700,-20.0,2.8,,Mitsubishi and Suzuki
Light Commercial Vehicles,Nissan,8400,-3.3,1.8,Nissan,
Light Commercial Vehicles,PSA (Stellantis),5600,-34.9,1.2,Stellantis,
Light Commercial Vehicles,Mercedes-Benz Cars & Vans,5300,-13.1,1.2,Mercedes-Benz Group,
Light Commercial Vehicles,Iveco,2300,-34.3,0.5,Iveco Group,
Light Commercial Vehicles,MAN,1900,-10.8,0.4,Volkswagen Group,
Light Commercial Vehicles,CAOA,200,-66.4,0.0,,
Light Commercial Vehicles,Others,5200,28.0,1.1,,
Light Commercial Vehicles,TOTAL,458800,19.5,100.0,,Market grew 19.5% in 2023
Trucks,MAN,27000,-21.7,25.0,Volkswagen Group,Market leader in Brazil trucks
Trucks,Mercedes-Benz,23000,-24.8,21.3,Daimler Truck,Separate from Mercedes-Benz Group
Trucks,Volvo,19600,-18.5,18.2,Volvo Group,
Trucks,Scania,12400,-5.9,11.5,Volkswagen Group,
Trucks,Iveco,9400,-11.9,8.7,Iveco Group,
Trucks,DAF,8300,22.8,7.7,PACCAR,Strong growth
Trucks,FCA (Stellantis),4900,48.6,4.5,Stellantis,
Trucks,Mercedes-Benz Cars & Vans,2200,-8.8,2.1,Mercedes-Benz Group,
Trucks,CAOA,300,29.4,0.3,,
Trucks,PSA (Stellantis),100,114.5,0.1,Stellantis,
Trucks,Agrale,100,18.4,0.1,,
Trucks,Ford,100,-12.5,0.1,Ford,
Trucks,Others,600,-17.6,0.5,,
Trucks,TOTAL,108000,-14.7,100.0,,Market declined 14.7% in 2023
