Company,Partner_Type,Partner_Name,Integration_Description,Page_Reference
Trimble,Tire Pressure Monitoring,Doran,Tire pressure monitoring partnership,190
Trimble,Tire Pressure Monitoring,Advantage PressurePro,Tire pressure monitoring partnership,190
Trimble,Tire Pressure Monitoring,Valor,Tire pressure monitoring partnership,190
Trimble,Tire Pressure Monitoring,WABCO,Tire pressure monitoring partnership,190
Trimble,In-cab Scanning,Vector,In-cab scanning functionality partnership,190
Trimble,Safety Solutions,Drivewyze,Integrated safety solution,190
Trimble,Safety Solutions,Bendix,Integrated safety solution,190
Trimble,Safety Solutions,Mobileye,Integrated safety solution,190
Trimble,Safety Solutions,Takata SafeTraK,Integrated safety solution,190
Trimble,Safety Solutions,SafeKey,Integrated safety solution,190
Trimble,Safety Solutions,SpeedGauge,Integrated safety solution,190
Trimble,Software Integration,McLeod Software,TMS integration,192
Trimble,Software Integration,Maptuit,Mapping integration,192
Trimble,Software Integration,Roadnet Technologies,Route optimization integration,192
Trimble,Software Integration,Drivewyze,ELD integration,192
Trimble,OEM Pre-wire,Freightliner (Daimler Truck),OEM pre-wire option,193
Trimble,OEM Pre-wire,Kenworth (PACCAR),OEM pre-wire option,193
Trimble,OEM Pre-wire,Peterbilt (PACCAR),OEM pre-wire option,193
Trimble,OEM Pre-wire,Mack (Volvo Group),OEM pre-wire option,193
Trimble,OEM Pre-wire,Volvo (Volvo Group),OEM pre-wire option,193
Trimble,OEM Pre-wire,International (Navistar),OEM pre-wire option,193
Trimble,OEM Remote Diagnostics,PACCAR Peterbilt,SmartLINQ remote diagnostics partner (announced 2015),193
Trimble,OEM Remote Diagnostics,PACCAR Kenworth,TruckTech+ remote diagnostics partner (announced 2015),193
Trimble,OEM Remote Diagnostics,PACCAR Mexico,Kenworth trucks partnership in Mexico,193
Trimble,Engine Diagnostics,Cummins,Engine diagnostics collaboration,193
Trimble,Remote Diagnostics Portal,Navistar International,OnCommand Connection portal integration,193
