Metric,Value,Unit,Time_Period,Geographic_Scope,Additional_Details,Page_Reference
Total Assets Managed,3000000,Assets,"More than 40 years history, current",Global,On board and off board transportation solutions,192
Active Fleet Management Units - Global,900000,Units,October 2024,Global,Remained largely flat in last year,192
Active Fleet Management Units - Americas,750000,Units,October 2024,Americas,Majority in North America,192
Active Fleet Management Units - North America,665000,Units,October 2024,North America,Estimated (750000 - 85000),192
Active Fleet Management Units - Latin America,85000,Units,October 2024,Latin America,,192
Active Fleet Management Units - Europe,150000,Units,October 2024,Europe,Estimated remainder (900000 - 750000),192
Fleet Size Range - Minimum,5,Vehicles,,North America,Minimum fleet size served,192
Fleet Size Range - Maximum,25000,Vehicles,,North America,Maximum fleet size served,192
Core Business Fleet Size,25,Vehicles,,North America,Regional and long-haul fleets,192
Hardware Cost - Minimum,500,USD,,North America,Upfront hardware cost,192
Hardware Cost - Maximum,1000,USD,,North America,Upfront hardware cost,192
Monthly Subscription - Minimum,25,USD per vehicle per month,,North America,Software subscription fee,192
Monthly Subscription - Maximum,45,USD per vehicle per month,,North America,Software subscription fee,192
Third-party Software Integrations,150,Partners,,Global,Supported partner integrations,192
Company History,40,Years,,Global,In transportation industry,192
