Customer_Name,Industry_Segment,Additional_Details,Page_Reference
Performance Food Group,Food Distribution,Major US customer,192
Linde,Industrial Gases,,192
Penske,Fleet Leasing/Logistics,,192
Crete Carrier,Trucking/Transportation,,192
Contrans,Transportation/Logistics,,192
J.B. Hunt,Transportation/Logistics,,192
Day & Ross,Transportation/Logistics,,192
Maverick,Transportation,,192
NFI,Logistics/Supply Chain,,192
FedEx,Express Delivery,Listed twice in references,192
Ryder Systems,Fleet Management/Leasing,,192
Quality Carriers,Tank Truck Carrier,,192
Coremark,Wholesale Distribution,,192
Nestlé,Food & Beverage,,192
Dean Foods,Dairy,,192
CFI,Trucking,,192
PODS,Moving & Storage,,192
