Metric,Value,Unit,Time_Period,Geographic_Scope,Additional_Details,Page_Reference
Employees,2500,Employees,Current,Global,15+ countries,193
Years of Experience,20,Years,Current,Global,Telematics and fleet management,193
Countries with Offices,15,Countries,Current,Global,North America; Latin America; EMEA; Asia-Pacific,193
Brand Launch Year,2018,Year,2018,Global,Verizon Connect brand launched,193
Parent Company Integration,2019,Year,2019,Global,Became part of Verizon Business Group,193
Parent Company Revenue,30000000000,USD,2023,Global,Verizon Business Group revenues,193
Global Installed Base - Minimum,2150000,Units,Current,Global,Estimated active fleet management units,195
Global Installed Base - Maximum,2200000,Units,Current,Global,Estimated active fleet management units,195
Americas Installed Base - Minimum,1600000,Units,Current,Americas,Estimated units,196
Americas Installed Base - Maximum,1650000,Units,Current,Americas,Estimated units,196
Monthly Pricing - Minimum,20,USD per month,Current,North America,Excluding add-ons like video,196
Monthly Pricing - Maximum,30,USD per month,Current,North America,Excluding add-ons like video; Depends on hardware and vehicle needs,196
Marketplace Integration Partners,45,Partners,Current,Global,Verizon Connect Marketplace,195
