Country,Region,Mobile_Operators,Major_Players,Market_Structure,Notes
Argentina,Latin America,"Claro, Movistar, Personal","América Móvil (Claro), Telefónica (Movistar)",3 main operators,
Bolivia,Latin America,"Entel, Tigo, Viva",Millicom (Tigo),3 operators,
Brazil,Latin America,"Vivo, Claro, TIM, Algar Telecom","Telefónica (Vivo), América Móvil (Claro), Telecom Italia (TIM)",4 major operators,Largest LatAm market
Canada,North America,"Rogers, Bell, TELUS, Vidéotron, SaskTel",,3 national + 2 regional,Advanced IoT market
Chile,Latin America,"Entel, Movistar, WOM, Claro","Telefónica (Movistar), América Móvil (Claro)",4 operators,
Colombia,Latin America,"Claro, Movistar, Tigo, WOM","América Móvil (Claro), Telefónica (Movistar), Millicom (Tigo)",4 operators,
Costa Rica,Latin America,"Kölbi, Liberty, Claro",América Móvil (Claro),3 operators,
Dominican Republic,Latin America,"Claro, Altice, Viva",América Móvil (Claro),3 operators,
Ecuador,Latin America,"Claro, Movistar, CNT","América Móvil (Claro), Telefónica (Movistar)",3 operators,
El Salvador,Latin America,"Tigo, Claro, Digicel, Movistar","Millicom (Tigo), América Móvil (Claro), Telefónica (Movistar)",4 operators,
Guatemala,Latin America,"Tigo, Claro","Millicom (Tigo), América Móvil (Claro)",2 main operators,
Guyana,Latin America,"Digicel, GTT",,2 operators,
Honduras,Latin America,"Tigo, Claro, Hondutel","Millicom (Tigo), América Móvil (Claro)",3 operators,
Mexico,Latin America,"Telcel, Movistar, AT&T Mexico","América Móvil (Telcel), Telefónica (Movistar), AT&T",3 operators,Second largest LatAm market
Nicaragua,Latin America,"Claro, Tigo","América Móvil (Claro), Millicom (Tigo)",2 main operators,
Panama,Latin America,"Cable & Wireless, Tigo",Millicom (Tigo),2 main operators,
Paraguay,Latin America,"Tigo, Personal, Claro, VOX","Millicom (Tigo), América Móvil (Claro)",4 operators,
Peru,Latin America,"Movistar, Claro, Entel, Bitel","Telefónica (Movistar), América Móvil (Claro)",4 operators,
Suriname,Latin America,"Telesur, Digicel",,2 operators,
USA,North America,"Verizon, T-Mobile USA, AT&T, Boost Mobile, UScellular",,3 major + regional,T-Mobile/Sprint merged 2020
Uruguay,Latin America,"Antel, Movistar, Claro","Telefónica (Movistar), América Móvil (Claro)",3 operators,
Venezuela,Latin America,"Movilnet, Movistar, Digitel",Telefónica (Movistar),3 operators,
