Region,Industry_Vertical,Customer_Segment,Additional_Details,Page_Reference
North America,Services & Specialty Trades,Commercial,Targeted industry,196
North America,Oil Gas & Mining,Commercial,Targeted industry,196
North America,Distribution,Commercial,Targeted industry,196
North America,Construction & Heavy Equipment,Commercial,Targeted industry,196
North America,Government & Public Safety,Government,Targeted industry,196
North America,Utilities,Commercial,Targeted industry,196
North America,Transportation & Logistics,Commercial,Targeted industry,196
Global,Enterprise,Large fleets,All-in-one fleet software solutions,193
Global,Small-to-Medium Businesses,SMB fleets,All-in-one fleet software solutions,193
Global,Government Fleets,Government,All-in-one fleet software solutions,193
Latin America,Same as North America,Various,Largely targeting same segments,196
