Product_Name,Product_Type,Key_Specifications,Features,Launch_Year,Page_Reference
LINK 245,Plug-and-play Tracker,Bluetooth; Self-installed,Vehicle tracking for combustion and electric fleets,Current,197
LINK 740,Telematics Device,CAN-bus data interface,Connection to Webfleet system; Works with driver terminals,Current,197
PRO 8 Series,Tablet-like Driver Terminal,Customizable with partner applications; Truck attributes,Turn-by-turn navigation with truck routing,Current,198
PRO i,Entry-level Driver Terminal,Compact device,Essential fleet needs support,Current,198
PRO M,Rugged Handheld Device,All-in-one,Ideal for vans and small vehicles,Current,198
CAM 50,AI Dashcam,HD; AI technology,Distracted driving detection; Mobile phone usage detection; Visual and audio alerts,2021,199
Webfleet eLogs,ELD Application,Mobile app,FMCSA ELD and NOM-087 rulesets,Current,198
Webfleet Vehicle Check,Mobile App,iOS and Android,Vehicle inspection,Current,198
Webfleet Work App,Mobile App,iOS and Android,Workforce management; Mobile tracking without hardware,Current,198
Webfleet Mobile,Mobile App,iOS and Android,Backoffice access for fleet managers,Current,198
