Customer_Name,Industry,Service_Type,Geographic_Market,Page_Reference
Amazon,E-commerce/Logistics,Fleet Management,Global,209
BMW,Automotive OEM,Connected Vehicle,Global,209
Bobcat,Construction Equipment,Equipment Telematics,Global,209
Caterpillar,Heavy Equipment,Equipment Telematics,Global,209
Kubota,Agricultural Equipment,Equipment Telematics,Global,209
Mercedes-Benz,Automotive OEM,Connected Vehicle,Global,209
Omnitracs,Fleet Management Software,Platform Integration,Global,209
Toyota,Automotive OEM,Connected Vehicle,Global,209
Trimble,Telematics Provider,Platform Integration,Global,209
Volkswagen Financial,Automotive Finance,Connected Vehicle,Global,209
