Rank,Company,Installed_Base_Units,Primary_Markets_Americas,Ownership,Key_Notes
1,Geotab,3600000,"US, Canada, Mexico, Chile, Colombia, Peru, Brazil",Independent,Market leader globally and in Americas
2,Verizon Connect,1600000,"US, Canada, Mexico, Chile",Verizon (Telecom),Result of multiple acquisitions (Fleetmatics + Telogis + Networkfleet)
3,Samsara,1400000,"US, Canada, Mexico",Public (NYSE: IOT),Fast-growing modern platform; strong in video telematics
4,CalAmp,1000000,"US, Canada, Mexico",Public,Hardware provider with software subscriptions
5,Solera Fleet Solutions,1000000,"US, Canada, Mexico, Brazil, Colombia, Argentina",Solera Holdings,Includes Omnitracs and other brands
6,Lytx,900000,"US, Canada, Mexico",Private,Video telematics specialist
7,Motive,750000,"US, Canada",Private,Formerly KeepTruckin; ELD-driven growth
8,Trimble,750000,"US, Canada, Brazil, Mexico",Public (NASDAQ: TRMB),Transportation division being acquired by Platform Science
9,Gurtam,680000,"Mexico, US, Chile, Peru, Colombia, Brazil, Uruguay",Independent,Wialon platform provider
10,Bridgestone Mobility Solutions,440000,"US, Canada, Mexico, Chile, Colombia",Bridgestone (Tire OEM),Formerly Webfleet
11,MICHELIN Connected Fleet,430000,"Brazil, US, Mexico, Canada",Michelin (Tire OEM),Includes Sascar and NexTraq brands
12,Fleet Complete (Powerfleet),348000,"US, Canada, Mexico",Powerfleet,Acquired by Powerfleet in 2024
13,Zonar Systems (Continental),340000,"US, Canada",Continental (Automotive),Strong in heavy-duty trucking
14,GPS Insight,300000,"US, Canada",Independent,
15,Powerfleet,280000,"US, Canada, Brazil, Mexico, Argentina",Public (NASDAQ: PWFL),Acquiring MiX Telematics and Fleet Complete
16,WideTech,213000,"Mexico, Colombia, Brazil, US, Costa Rica, Peru",Independent,
17,Navixy (SquareGPS),210000,"Mexico, Costa Rica, Dominican Republic, US, Chile",Independent,
18,Encontrack,200000,Mexico,Independent,
19,Ituran,200000,"Brazil, Argentina, US",Public (NASDAQ: ITUR),Also offers SVR solutions
20,Teletrac Navman,200000,"US, Canada, Mexico, Chile",Vontier,
21,Pósitron (Stoneridge),180000,Brazil,Stoneridge,
22,Linxup,170000,"US, Canada",Independent,
23,GPS Trackit,160000,"US, Colombia, Peru, Mexico",Independent,
24,RedGPS,160000,"Mexico, Colombia, Argentina, Peru, Chile, Ecuador",Independent,
25,Autotrac,155000,"Brazil, Argentina",Independent,Brazilian market leader
26,3Dtracking,150000,"Mexico, Argentina, Peru, Colombia",Independent,
27,Omnilink,150000,Brazil,Independent,
28,DCT,140000,"Mexico, US, Colombia, Peru, Chile",Digital Communications Technologies,
29,OnixSat,140000,Brazil,Independent,
30,Scania,133000,"Brazil, Mexico, Chile, Argentina",Scania (OEM),Truck manufacturer OEM telematics
