Company,Metric,Value,Unit,Year,Notes,Page
Fleet Freedom,Parent Company,Baka Communications,text,2024,Owned by longstanding Bell dealer,221
Fleet Freedom,Founded,2001,year,2001,Established as Trak iT Wireless,221
Fleet Freedom,Total Units Deployed,70000,units,2024,Estimated total in field,221
Fleet Freedom,Units Active,Variable,text,2024,Depends on season and time of year,221
Fleet Freedom,Seasonal Variation,Agricultural Clients,text,2024,Inactive during winter months,221
Fleet Freedom,Geographic Coverage,North America,text,2024,Through VAR channel,221
Fleet Freedom,Distribution Model,VAR Channel,text,2024,Through partners across North America,221
Fleet Freedom,White Labeling,Available,text,2024,Offered to partners,221
Fleet Freedom,Reseller Partner,Bell,text,2024,Canadian operator acts as reseller,221
Fleet Freedom,Target Customers,White Van Fleets,text,2024,Service segments: plumbing electrical HVAC,221
Fleet Freedom,Additional Target,Trucking Fleets,text,2024,Secondary customer segment,221
Fleet Freedom,Additional Target,Construction Industry,text,2024,Asset tracking focus,221
Fleet Freedom,Sister Company,Halo Trak,text,2024,GPS tracking for general public,221
Fleet Freedom,Sister Product Launch,Halo Mini,text,2024,Introduced in 2024 for small assets,221
