Company,Metric,Value,Unit,Year,Notes,Page
FleetHunt,Headquarters,Winnipeg Manitoba Canada,text,2024,Canadian company,222
FleetHunt,Founded,2016,year,2016,Company founding year,222
FleetHunt,Total Vehicles Tracked,80000+,vehicles,October 2024,Global total,222
FleetHunt,North America Units,10000+,units,2024,Units in use in North America,222
FleetHunt,Primary Markets,India and Philippines,text,2024,Major share of installed base,222
FleetHunt,Additional Market,Africa,text,2024,Small share,222
FleetHunt,Geographic Coverage,Canada and US,text,2024,North American operations,222
FleetHunt,Platform,In-house Developed,text,2024,Proprietary platform,222
FleetHunt,Fleet Size Compatibility,All Types and Sizes,text,2024,Compatible with any fleet,222
FleetHunt,ELD Certification,FMCSA and CCMTA,text,2024,Registered with both agencies,222
FleetHunt,Target Industries,Trucking,text,2024,Key industry served,222
FleetHunt,Target Industries,Construction,text,2024,Key industry served,222
FleetHunt,Target Industries,Towing,text,2024,Key industry served,222
FleetHunt,Target Industries,Moving,text,2024,Key industry served,222
FleetHunt,Target Industries,Passenger Transit,text,2024,Key industry served,222
