Company,Customer_Segment,Region,Priority,Notable_Customers,Page
GreenRoad,Corporate Fleets,Global,Top Target,Multiple,228
GreenRoad,Mid-Sized Fleets,Global,Top Target,Multiple,228
GreenRoad,Bus & Coach,Global,Key Segment,Stagecoach FirstGroup Arriva Kelsian Group,228
GreenRoad,Oil & Gas,Global,Key Segment,Chevron SLB,228
GreenRoad,Energy,Global,Key Segment,Multiple,228
GreenRoad,Utilities,Global,Key Segment,Multiple,228
GreenRoad,Services,Global,Key Segment,Securitas Bureau Veritas Syngenta,228
GreenRoad,UK Market,UK,Primary,High Priority,228
GreenRoad,APAC Market,APAC,Primary,High Priority,228
GreenRoad,EU Market,EU,Primary,High Priority,228
GreenRoad,GCC Market,GCC,Primary,High Priority,228
GreenRoad,US Market,US,Lower Priority,Currently lesser priority than other markets,228
