Company,Revenue_USD_Millions,YoY_Growth_Pct,EBITDA_USD_Millions,Market_Cap_USD_Millions,Headquarters,Stock_Symbol,Business_Model
Samsara,937,44,-239,27545,US,NYSE: IOT,Public; IoT platform for operations
Solera Fleet Solutions,562,-6,191,N/A,US,Private (Vista Equity),Includes Omnitracs and other brands
Geotab,560,14,N/A,N/A,Canada,Private,Pure-play fleet telematics
Ituran,320,9,87,532,Israel,NASDAQ: ITUR,Fleet + SVR solutions
CalAmp,295,0,18,N/A,US,Acquired 2024,Hardware + software subscriptions
Sascar (Michelin),155,5,N/A,N/A,Brazil,Michelin subsidiary,Part of MICHELIN Connected Fleet
MiX Telematics (Powerfleet),152,5,36,N/A,South Africa,Acquired by Powerfleet 2024,Now MiX by Powerfleet
Powerfleet,134,-1,7,786,US,NASDAQ: PWFL,Acquiring MiX and Fleet Complete
EROAD,111,4,33,97,New Zealand,NZX: ERD,RUC and fleet telematics
Fleet Complete (Powerfleet),103,3,N/A,N/A,Canada,Acquired by Powerfleet 2024,ELD and fleet management
Verizon Connect,~1000,N/A,N/A,N/A,US,Verizon Business Group,Part of Verizon Communications
Autotrac,60,3,N/A,N/A,Brazil,Private,Brazilian market leader
ISAAC Instruments,50,N/A,N/A,N/A,Canada,Private,Heavy truck ELD specialist
Omnilink,45,14,N/A,N/A,Brazil,Private,Brazilian telematics provider
Motive,300+ ARR,N/A,N/A,N/A,US,Private (Unicorn),Formerly KeepTruckin; ELD platform
