Company,Metric,Value,Unit,Year,Notes,Page
Lytx,Former Name,DriveCam,text,2013,Changed name in 2013,237
Lytx,Founded,1998,year,1998,Company establishment,237
Lytx,Headquarters,San Diego California,text,2024,US location,236
Lytx,Wholly-Owned Subsidiaries,UK Israel India,text,2024,International presence,236
Lytx,Total Employees,850+,employees,2024,Worldwide workforce,236
Lytx,RAIR Technologies Acquisition,2011,year,2011,Regulatory compliance solutions for DOT fleets,237
Lytx,GTCR Acquisition,2016,year,2016,Private equity firm acquired company,237
Lytx,Additional Investors Join,2018,year,2018,Clearlake Capital HarbourVest PSP Guggenheim,237
Lytx,Permira Agreement,January 2020,date,2020,Majority stake acquisition agreement,237
Lytx,Permira Valuation,2.5,USD Billion,2020,Transaction value,237
Lytx,Permira Valuation,2.3,EUR Billion,2020,Transaction value in euros,237
Lytx,Permira Transaction Completion,February 2020,date,2020,Acquisition completed,237
Lytx,Surfsight Acquisition,May 2020,date,2020,Technology developed in Israel,237
Lytx,Market Position,Pioneer,text,2024,Video-based driver safety industry,237
Lytx,Market Position,Leading Provider,text,2024,MV and AI-powered video telematics,237
