Company,Metric,Value,Time_Period,Geographic_Region,Notes
Lytx,Total Fleets Worldwide,5000+,Current,Global,More than 5000 fleets worldwide use technology
Lytx,Total Subscribers,1250000,Current,Global,Total subscribers globally
Lytx,Paid Subscribers,1000000,Q4-2023,Global,Surpassed 1.0 million paid subscribers globally
Lytx,Subscribers,850000,End of 2022,Global,Subscriber base at end of 2022
Lytx,Total Drivers Protected,2100000,Current,Global,Drivers in more than 85 countries
Lytx,Countries Served,85+,Current,Global,Worldwide presence
Lytx,Driving Data Analyzed,260000000000,Current,Global,260 billion miles of driving data analyzed
Lytx,Integration Partners,20+,2021,Global,Lytx Integration Network aggregates more than 20 integration partners
Lytx,Global Strategic Partners,100+,Current,Global,Sells Surfsight product through more than 100 global strategic partners
Lytx,Primary Market Share,Majority,Current,North America,North American market accounts for most of installed base
Lytx,European Market Position,Second Largest,Current,Europe,Europe is second largest market
Lytx,UK Market Position,Majority,Current,UK,UK represents majority in Europe
Lytx,Germany Market Position,Main Market,Current,Continental Europe,Main market in continental Europe
