Partner_Company,Partnership_Type,Announcement_Date,Integration_Type,Product_Service,Notes
Geotab,Technology Integration,2020,Single-user interface,Telematics offering,Driver Safety Program and Geotab telematics available through single interface
Fleetio,Pre-built Integration,February 2024,Maintenance automation,Maintenance and operations,Designed to help fleets automate maintenance and operations
Daimler Truck North America,OEM Integration,2022,Video telematics system,DriveCam SF500 camera,Integrated into select Freightliner and Western Star models
Ford,Full Integration,January 2024,Ford Pro platform,Lytx Surfsight dashcam,Full integration into Ford Pro commercial solutions line with direct integration into Ford Pro Intelligence platform
Geotab,Strategic Partner,Current,Surfsight Distribution,Video telematics,Global strategic partner for Surfsight product
Bridgestone,Strategic Partner,Current,Surfsight Distribution,Video telematics,Global strategic partner for Surfsight product
Microlise,Strategic Partner,Current,Surfsight Distribution,Video telematics,Global strategic partner for Surfsight product
Fleet Hoster,Strategic Partner,Current,Surfsight Distribution,Video telematics,Global strategic partner for Surfsight product
HD Fleet,Strategic Partner,Current,Surfsight Distribution,Video telematics,Global strategic partner for Surfsight product
Spireon,Strategic Partner,Current,Surfsight Distribution,Video telematics,Global strategic partner for Surfsight product
T-Mobile,Strategic Partner,Current,Surfsight Distribution,Video telematics,Global strategic partner for Surfsight product
Enterprise,Strategic Partner,Current,Surfsight Distribution,Video telematics,Global strategic partner for Surfsight product
Ford Pro,Strategic Partner,Current,Surfsight Distribution,Video telematics,Global strategic partner for Surfsight product
