Company,Metric,Value,Time_Period,Geographic_Region,Notes
Motive (KeepTruckin),Founded,2013,2013,San Francisco,Originally founded as KeepTruckin
Motive,Employees,3200,Current,Global,Offices in North America and Asia (8 offices)
Motive,Headquarters,San Francisco,Current,United States,Main office location
Motive,Rebranding Date,April 2022,April 2022,Global,Changed from KeepTruckin to Motive Technologies
Motive,Total Funding,600000000,Current,Global,600 million USD total funding raised
Motive,Valuation,2850000000,Latest Round,Global,2.85 billion USD valuation
Motive,Customers,120000+,Current,North America,More than 120000 customers
Motive,Connected Hardware Assets,1400000,Current,Global,Total hardware assets connected to platform (vehicles assets dashcams)
Motive,Connected Vehicles,750000,End of 2023,Global,Total vehicles connected to platform
Motive,Paid Driver Accounts,1300000,Current,Global,Drivers with paid app user accounts
Motive,Mexico Expansion,2024,2024,Mexico,Official expansion into Mexico market
