Customer_Name,Industry_Segment,Fleet_Size_Category,Geographic_Region,Notes
Western Express,Trucking,Large,North America,Customer reference
Bennett,Trucking,Large,North America,Customer reference
Groome Transportation,Passenger Transport,Medium-Large,North America,Customer reference
Rosendin Electric,Field Service,Large,North America,Customer reference
Cascade Environmental,Environmental Services,Medium-Large,North America,Customer reference
Halliburton,Oil & Gas,Enterprise,North America,Customer reference
Landstar,Trucking,Large,North America,Customer reference
Komatsu,Construction Equipment,Enterprise,North America,Customer reference
Kone,Industrial Equipment,Enterprise,North America,Customer reference
Usher Transport,Trucking,Large,North America,Customer reference
Nova Lines,Trucking,Medium-Large,North America,Customer reference
ARL Transport,Trucking,Medium-Large,North America,Customer reference
