Company,Metric,Value,Unit,Year/Period,Source_Page
Samsara,App Marketplace Integration Partners,280,partners,2024,276
Samsara,Connected Devices Milestone,1000000,units,2020,266
Samsara,Connected Devices Current,3000000,units,2024,266
Samsara,Data Points Processed,9000000000000,data points,FY-2024,266
Samsara,Customer Milestone 1,10000,customers,June 2019,266
Samsara,Customer Milestone 2,20000,customers,Q4-2020,266
Samsara,Current Customers,Tens of thousands,customers,2024,266
Samsara,Large ARR Customers,~2000,customers,2024,267
Samsara,Large ARR Customer Threshold,100000,USD/year,2024,267
Samsara,Typical Fleet Size Range 1,100,vehicles,2024,267
Samsara,Typical Fleet Size Range 2,1000,vehicles,2024,267
Samsara,Maximum Fleet Size,10000,vehicles,2024,267
Samsara,Vehicle Telematics List Price Low,40,USD/month,2024,267
Samsara,Vehicle Telematics List Price High,45,USD/month,2024,267
Samsara,Dash Camera List Price (Front-facing),45,USD/month,2024,267
Samsara,Active Vehicle Gateways Americas,1400000,units,End 2023,267
Samsara,Vehicle Gateways in Mexico,Few percent,percentage,End 2023,267
