Partner_Category,Partner_Name,Partner_Type,Description,Source_Page
OEM,Ford,Vehicle Manufacturer,Integration partner in App Marketplace,265
OEM,International (Navistar),Vehicle Manufacturer,Integration partner in App Marketplace,265
OEM,General Motors,Vehicle Manufacturer,Integration partner in App Marketplace,265
OEM,John Deere,Equipment Manufacturer,Integration partner in App Marketplace,265
Insurance,Progressive,Insurance Provider,Integration partner in App Marketplace,265
Insurance,National Interstate,Insurance Provider,Integration partner in App Marketplace,265
Insurance,HDVI,Insurance Provider,Integration partner in App Marketplace,265
TMS,McLeod,Transportation Management System,Integration partner in App Marketplace,265
TMS,Trimble,Transportation Management System,Integration partner in App Marketplace,265
Supply Chain Visibility,Project44,Visibility Platform,Integration partner in App Marketplace,265
Supply Chain Visibility,FourKites,Visibility Platform,Integration partner in App Marketplace,265
