Company_Name,Relationship_Type,Category,Source_Page
Geotab,Technology Partner,Fleet Management Platform,282
Ruptela,Hardware Partner,Device Supplier,282
Teltonika,Hardware Partner,Device Supplier,282
Globalstar,Connectivity Partner,Satellite Communications,282
Jimi IoT,Hardware Partner,Device Supplier,282
ORBCOMM,Technology Partner,Satellite & IoT Solutions,282
Didcom,Technology Partner,Hardware/Software,282
Orange,Connectivity Partner,Mobile Operator,282
ELA Innovation,Technology Partner,IoT Solutions,282
Escort,Technology Partner,Telematics Hardware,282
Telcel,Connectivity Partner,Mobile Operator,282
AT&T,Connectivity Partner,Mobile Operator,282
CFM,Customer,Oil & Gas,282
Fymsa,Customer,Industrial,282
Corporación Sánchez,Customer,Corporate,282
La Quinta,Customer,Hospitality/Transportation,282
Santandreu Turbomaquinaria,Customer,Industrial Equipment,282
GILSA,Customer,Industrial,282
Hospital Muguerza,Customer,Healthcare,282
Laboratorios Moreira,Customer,Pharmaceutical,282
