Company,Metric,Value,Unit,Year/Period,Notes,Source_Page
Golfleet Tecnologia,Former Name,GolSat Tecnologia,name,2022,Rebranded,284
Golfleet,Founded,2007,year,,,284
Golfleet,Employees,130,employees,2024,,284
Golfleet,Installation Sites,400,sites,2024,Throughout Brazil,284
Golfleet,Gross Revenue 2023,58800000,BRL,2023,,284
Golfleet,Gross Revenue 2023 USD,11800000,USD,2023,Converted,284
Golfleet,Gross Revenue 2022,54600000,BRL,2022,,284
Golfleet,Brand Transition,GolSat to Golfleet,brands,2022,,284
Golfleet,Data Transmission Frequency,Every 3 minutes,frequency,2024,Real-time data to server,284
Golfleet,Business Focus,B2B exclusively,model,2024,,284
Golfleet,Total Clients,900,clients,2024,,284
Golfleet,Direct vs Indirect Revenue,50/50,split,2024,Evenly distributed,284
Golfleet,Average Monthly Fee,68,BRL,2023,,285
Golfleet,Average Monthly Fee USD,13,USD,2023,Converted,285
Golfleet,Active Installed Devices Q3-2024,62000,units,Q3-2024,,285
Golfleet,Active Installed Devices End 2023,60000,units,End 2023,,285
Golfleet,Recurring Revenue Percentage,>80,percent,2024,SaaS model,285
