Company_Name,Relationship_Type,Category,Source_Page
CalAmp,Device Supplier,Hardware Partner,285
Suntech do Brasil,Device Supplier,Hardware Partner,285
ArcelorMittal,Customer,Steel/Manufacturing,284
John Deere,Customer,Agriculture Equipment,284
UPL,Customer,Agriculture,284
Minalba,Customer,Beverages,284
Stone,Customer,Financial Technology,284
ALD Automotive,Customer,Fleet Management Services,284
Arval,Customer,Fleet Management Services,284
White Martins,Customer,Industrial Gases,284
Belagrícola,Customer,Agriculture,284
Philip Morris,Customer,Tobacco,284
