Partner/Customer,Type,Relationship,Details
Vivo,Telecom,Communications Partner,Cellular connectivity
Claro,Telecom,Communications Partner,Cellular connectivity
TIM,Telecom,Communications Partner,Cellular connectivity
Oi,Telecom,Communications Partner,Cellular connectivity
Iridium,Satellite,Communications Partner,Satellite connectivity
Sigfox,IoT Network,Communications Partner,LoRa technology (via CEABS acquisition)
Traton Group RIO,OEM Platform,Regional Partner,RIO Security powered by Omnilink; Marketplace partner
Bosch,Automotive Supplier,Strategic Commercial Partnership 2024,"Service network access; Omniturbo/Omnidual installation through Bosch Diesel Center network"
Steel Log,Customer,Fleet Client,Transportation
JSL,Customer,Fleet Client,Transportation
Philip Morris International,Customer,Fleet Client,Distribution
Lontano Transportes,Customer,Fleet Client,Transportation
Ativa Logística,Customer,Fleet Client,Logistics
Ambipar,Customer,Fleet Client,Environmental services
Braspress,Customer,Fleet Client,Logistics
TNT,Customer,Fleet Client,Logistics
