Metric,Value,Year/Period,Region,Notes
Company Name,Fleet Complete,2024,,Acquired by Powerfleet
Headquarters,Toronto Canada,2024,,
Founded Year,2000,,,Originally as Courier Complete
Total Employees,660,2024,,Including acquired businesses
Total Subscribers,606000,Aug 2024,Global,
Total Subscribers,587000,Dec 2023,Global,
Total Customers,35000,Aug 2024,Global,
North America Subscribers,360000,Dec 2023,North America,
Latin America Subscribers,41000,Dec 2023,Latin America,Mexico only
Europe Subscribers,143000,Dec 2023,Europe,
Australasia Subscribers,43000,Dec 2023,Australasia,
Asset Tracker Units,43000,Dec 2023,North America,
Other Non-Vehicle Assets,10000,Dec 2023,North America,
Commercial Vehicle Subscribers North America,307000,Dec 2023,North America,Device-based fleet management
Revenue CAD,139000000,FY2023 Sep,,Total revenues
Revenue USD,103000000,FY2023 Sep,,Total revenues
Revenue CAD,131000000,FY2022 Sep,,Total revenues
Annualized Revenue Run Rate CAD,145000000,Q3-2023,,
Monthly Fee with Hardware Bundle USD,20,2023,,Typical pricing including FT1 device
Acquisition Date,Oct 2024,,,By Powerfleet
