Category,Name,Type,Details
Target Industry,Food & Beverage,Vertical,Core market segment
Target Industry,Transportation & Logistics,Vertical,Core market segment
Target Industry,Distribution,Vertical,Core market segment
Target Industry,Construction & Equipment,Vertical,Core market segment
Target Industry,Retail & Wholesale,Vertical,Core market segment
Target Industry,Government & Safety,Vertical,Core market segment
Target Industry,Field Services,Vertical,Core market segment
Target Industry,Mining and Oil & Gas,Vertical,Core market segment
Partnership,Chevron Texaco,Fuel Card Partner,Panama operations
Partnership,Multiple Banks,Fuel Card Partner,Panama operations
Partnership,Cable & Wireless Panamá,Authorized Reseller,Product distribution
Customer,FEMSA,Reference Client,Major customer
Customer,Coca-Cola,Reference Client,Major customer
Customer,Pepsi,Reference Client,Major customer
