Customer Name,Industry,Type,Notes
Contatto,Transportation,Fleet Client,National operations
Grupo Imediato,Transportation,Fleet Client,National operations
IC Transportes,Transportation,Fleet Client,National operations
IRAPURU Operador Logístico,Logistics,Fleet Client,National operations
Jamef Encomendas Urgentes,Express Delivery,Fleet Client,National operations
Modular Cargas,Transportation,Fleet Client,National operations
Morada,Transportation,Fleet Client,National operations
Transjoi,Transportation,Fleet Client,National operations
Transpanorama,Transportation,Fleet Client,National operations
Transportes Cavalinho,Transportation,Fleet Client,National operations
Transbrotense,Transportation,Fleet Client,National operations
Risk Management Companies,Insurance/Risk,Approval,Approved by major players in Brazil
Insurance Companies,Insurance,Approval,Approved by major players in Brazil
