Metric,Value,Year/Period,Region,Notes
Company Name,Geotab,2024,,
Founded Year,2000,,,Began operations 1996
Headquarters,Canada,,,
Total Employees,2200,2024,Global,
Revenue USD,560000000,2023,,
Revenue USD,491000000,2022,,
Total Subscriptions,4500000,2024,Global,Over 4.5 million
Total Subscriptions,4098000,Dec 2023,Global,
Total Subscriptions,3276000,Dec 2022,Global,
Total Customers,50000,2024,Global,Over 50000
Milestone 1M Subscriptions,1000000,Feb 2018,,
Milestone 2M Subscriptions,2000000,Jan 2020,,
Milestone 3M Subscriptions,3000000,Aug 2022,,
Milestone 4M Subscriptions,4000000,Nov 2023,,
Americas Subscriptions,3700000,Dec 2023,Americas,
Latin America Subscriptions,255000,Dec 2023,Latin America,Including Mexico
Latin America Subscriptions,300000,2024,Latin America,Current estimate
Asset Tracking Percentage,3,2023,,Percent of subscription base
Enterprise Fleet Percentage,60,2024,,Fleets with 500+ vehicles
Resellers and Channel Partners,700,2024,Global,
Daily Data Points Processed,75000000000,2024,,Over 75 billion
Geotab Marketplace Solutions,300,2024,,Fleet and asset-focused solutions
Supported Vehicle Makes Models,9000,2024,,
Supported EV Models,300,2024,,Hybrid and electric vehicles
Public Sector Subscriptions North America,1000000,Feb 2024,North America,Over 1 million
Public Sector Customers,3000,2024,Global,Over 3000
GSA Contract Vehicles,400000,Feb 2024,United States,Over 400000 GSA-leased and agency-owned vehicles
