Carrier Partner,Country/Region,Product/Service,Year,Details
AT&T,United States,Fleet management solutions,2018,Enterprise and government customers
AT&T,Mexico,Fleet management solutions,2018,
T-Mobile,United States,SyncUP FLEET / T-Mobile Business,2017,Full suite of Geotab products
UScellular,United States,Fleet management solutions,2021,
Bell,Canada,Solutions distribution,,
Rogers,Canada,Solutions distribution,,
TELUS,Canada,Solutions distribution,,
British Telecom,Europe,Solutions distribution,,
Vodafone,Europe,Solutions distribution,,
Telefónica,Ecuador,Solutions distribution,2014,
Telefónica,Colombia,Solutions distribution,2014,
Telefónica,Mexico,Solutions distribution,2014,
Telefónica,Peru,Solutions distribution,2014,
Telefónica,Chile,Solutions distribution,2014,
Telefónica/O2,Multiple markets,Solutions distribution,2014,
Vivo Brazil (Telefónica),Brazil,Solutions distribution,,
Liberty,Caribbean,Solutions distribution,,
Telstra,Australia/New Zealand,Solutions distribution,,
