Customer Name,Industry,Country,Notes
Teck-Bechtel,Mining,Chile,Major mining customer
AMSA,Mining,Chile,Mining group
Codelco,Mining,Chile,State-owned mining corporation
Anglo American,Mining,"Chile, Peru",Major mining company
BHP Mining,Mining,Chile,Global mining company
Salfa,Construction/Transportation,Chile,Major transporter
HDI Seguros,Insurance,Chile,Insurance company
Falabella Seguros,Insurance,Chile,Insurance company
Derco,Automotive,Chile,Vehicle dealer/distributor
Reale Seguros,Insurance,Chile,Insurance company
Skoda,Automotive,Chile,Vehicle manufacturer
BMW,Automotive,Chile,Premium vehicle manufacturer
BCI Seguros,Insurance,Chile,Insurance company
MAPFRE,Insurance,Chile,International insurance company
Zenit,Transportation,Chile,Logistics/transportation
Mesos,Transportation,Chile,Logistics company
Claro Chile,Telecommunications,Chile,Mobile carrier
Nissan Chile,Automotive,Chile,Vehicle manufacturer
ADT,Security,Chile,Security services
Porsche Chile,Automotive,Chile,Premium vehicle manufacturer
Deco,Retail/Automotive,Chile,Vehicle dealer
Prosegur,Security,Chile,Security transport services
Mitta,Transportation,Chile,Cargo transport
Walmart,Retail,Chile,Retail chain
SKC Group,Construction,Chile,Construction group
Ferreyros,Equipment/Mining,Peru,Heavy equipment distributor
Inkafarma,Pharmaceutical Retail,Peru,Pharmacy chain
Pacasmayo,Cement,Peru,Cement company
Petroperú,Energy,Peru,State oil company
