OEM Partner,Partnership Type,Year Announced,Details
Ford,Integrated Solution,2018,Added Geotab as telematics partner
Ford,Integrated Solution,2019,Geotab Integrated Solution for Ford Vehicles launched
General Motors,Integrated Solution,2020,OnStar-equipped vehicles - Chevrolet Buick GMC Cadillac
Stellantis,Free2move Integration,2022,Ram Dodge Jeep Chrysler brands in North America
Stellantis,Mobilisights Integration,2024,Multiple brands: Abarth Alfa Romeo Citroën DS Fiat Jeep Lancia Opel Peugeot Vauxhall
Volvo Trucks,Strategic Partnership,2016-2017,Legacy truck connectivity
Volvo Trucks North America,ELD Solutions,2019,Factory-fit telematics devices
Volvo Trucks North America,Telematics Packages,2020,New packages launched
Mack Trucks,Strategic Partnership,2016-2017,Legacy truck connectivity
Mack Trucks,ELD Solutions,2019,Factory-fit telematics devices
International Trucks (Navistar),OnCommand Connection,2013,Remote diagnostics portal
International Trucks (Navistar),Strategic Partnership,2020,Factory-installed telematics device for International Trucks brand
Daimler Truck North America (DTNA),Direct Data Integration,Feb 2024,Freightliner trucks via DTNA servers
Rivian,Integrated Data Solution,May 2024,Commercial vehicles in North America
Autocar Trucks,Integration,2024,
Hino Trucks,Integration,2024,
BMW,Integrated Solution,2024,
Mini,Integrated Solution,2024,
Rolls-Royce,Integrated Solution,2024,
Renault,Integrated Solution,2024,
Dacia,Integrated Solution,2024,
QEV,Integrated Solution,2024,
BYD,Integrated Solution,2024,
Caterpillar,AEMP Integration,2024,
Komatsu,AEMP Integration,2024,
John Deere,AEMP Integration,2024,
