Metric,Value,Year,Source,Notes
Market Status,Fastest-growing sector in commercial telematics,2021,MRM Report,
Trucking Fleet Video Adoption,44%,Mid-2019,C.J. Driscoll Survey,Video cameras on at least portion of fleet
Trucking Fleet Fully-Equipped,27%,Mid-2019,C.J. Driscoll Survey,Entire fleet equipped with video
Primary Use Case 1,Determine liability in accidents,2021,MRM Report,
Primary Use Case 2,Driver coaching,2021,MRM Report,
Market Penetration,Penetrating all fleet segments,2021,MRM Report,
Revenue Impact,Significant increased revenue for TSPs,2021,MRM Report,
ARPU Impact,Video can nearly double ARPU,2021,MRM Report,When purchased with basic solution
Technology Enabler 1,Artificial Intelligence,2021,MRM Report,Simulates human intelligence
Technology Enabler 2,Machine Learning,2021,MRM Report,Automates analytical model building
Technology Maturity,AI and ML have enabled effective video telematics,2021,MRM Report,
Competition Trend,Growing competition,2021,MRM Report,
Pricing Outlook,Price erosion anticipated,Future,MRM Report,Due to increasing competition
Market Growth Rate,Fastest-growing application,2021,MRM Report,Among all commercial telematics applications
