Government Entity,Type,State/Province,Details,Year
GSA Fleet,Federal,United States,Single source contract for 400000+ vehicles,Feb 2024
US Air Force,Federal Military,United States,,
US Army,Federal Military,United States,,
Natural Resources Canada,Federal,Canada,,
New York City,Municipal,New York,,
City of Toronto,Municipal,Ontario Canada,,
State of Ohio,State,Ohio,Selected as telematics provider,
State of California,State,California,Selected as telematics provider,
State of Minnesota,State,Minnesota,Selected as telematics provider,
State of Colorado,State,Colorado,Selected as telematics provider,
State of Oklahoma,State,Oklahoma,Selected as telematics provider,
State of Nevada,State,Nevada,Selected as telematics provider,
State of Wyoming,State,Wyoming,Selected as telematics provider,
State of Utah,State,Utah,Selected as telematics provider,
State of Connecticut,State,Connecticut,Selected as telematics provider,
State of North Carolina,State,North Carolina,Selected as telematics provider,
State of Missouri,State,Missouri,Selected as telematics provider,
State of Massachusetts,State,Massachusetts,Selected as telematics provider,
State of Michigan,State,Michigan,Selected as telematics provider,
State of West Virginia,State,West Virginia,Selected as telematics provider,
Georgia Department of Transportation,State Agency,Georgia,Altitude platform customer,
CalTrans,State Agency,California,Altitude platform customer,
New York City Department of Transportation,Municipal,New York,Altitude platform customer,
Sourcewell,Cooperative Purchasing,National,Long-standing cooperative contract,
NASPO ValuePoint,Cooperative Purchasing,National,Long-standing cooperative contract,
