Supplier,Markets Served,Estimated UIS Nov 2018,Estimated UIS Aug 2021,2020 US MRM Revenues,Global Revenues,Growth Nov 2018 to Aug 2021
Geotab,"SMB, enterprise, trucking, video, mostly through resellers",1000000,1879314,$286 million,N/A,87.9%
Verizon Connect,"SMB, enterprise, vehicle OEMs, heavy equipment monitoring, asset monitoring, field service management, video",1600000,1750000,$440 million,N/A,9.4%
Omnitracs,"For-hire and private trucking fleets, trailer monitoring, video-based driver behavior management",688600,792000,$300 million,$450 million globally,15.0%
Samsara,"SMB, enterprise, vehicle OEMs, asset monitoring, field service management, video, other",200000,700000,$300 million+,N/A,250.0%
Lytx,Driver performance and vehicle monitoring,500000,700000,$400 million,N/A,40.0%
ORBCOMM,"Refrigerated trailers, dry vans, U.S.-based intermodal containers, heavy equipment, commercial and government fleets",540000,612000,$125 million,$248 million globally,13.3%
Trimble/PeopleNet,"Trucking and logistics, truck OEMs, field service fleets and mobile workers, ELDs, heavy equipment monitoring",370000,600000+,$280 million,N/A,62.2%
Zonar Systems,"Trucking, school bus, transit, construction utilities, waste disposal",513000,620000,$160 million,N/A,20.9%
SkyBitz,"Monitoring of trailers, containers, assets, tanks",492000,420000,$100 million,N/A,-14.6%
Keep Truckin,"Trucking solutions including ELDs, fleet management solutions, video",250000,400000,$150 million,N/A,60.0%
