Metric,Value,Year,Notes
Video and Driver Behavior Management Units,1700000,Mid-2021,Includes video-based and smartphone-based solutions
Market Leader (Lytx) Units,700000,Mid-2021,Lytx units in service in the U.S.
New and Replacement Devices Installed,475000+,2020,Devices installed during 2020
Average Device Selling Price,$275,2020,Including event recorders and cameras (excluding driver-provided smartphones)
Hardware Sales and Installation Revenue,$180 million,2020,Total hardware revenue
Average Service Fee (Monthly),$28,2020,Per vehicle monthly service fee
Service Revenue,$470 million,2020,Total service revenue
Total 2020 Revenue,$710 million,2020,Combined hardware and service revenue
Projected Revenue Growth,15-20%,2021-2024,Projected throughout forecast period
Projected Total Revenue 2024,$1.2 billion+,2024,Expected total revenues
Projected Total Units 2024,3.0 million+,2024,Expected installed base
Annual Growth Rate,Approximately 18%,2021-2024,Projected annual growth
