Company,Location,Number_of_Vehicles,Data_Source,Year
Carey International,Frederick MD,1702,LCT Top 100 Largest Fleets,2019
Addison Lee Group,Mahwah NJ,750,LCT Top 100 Largest Fleets,2020
Metro Cars,Taylor MI,536,LCT Top 100 Largest Fleets,2019
Dav El/BostonCoach Chauffered Transportation Network,Boston MA,423,LCT Top 100 Largest Fleets,2019
Bell Limousine Transportation,Las Vegas NV,339,LCT Top 100 Largest Fleets,2019
Bauer's IT,San Francisco CA,329,LCT Top 100 Largest Fleets,2019
RMA Worldwide Chauffeured Transportation,Rockville MD,327,LCT Top 100 Largest Fleets,2019
Windy City Limousine & Bus,Chicago IL,300,LCT Top 100 Largest Fleets,2021
TBL Group now dba ECHO/AFC Transportation,Houston TX,300,LCT Top 100 Largest Fleets,2021
Reston Limousine,Sterling VA,250,LCT Top 100 Largest Fleets,2021
