Company,Total Fleet Vehicles (Excluding Trailers),Source,Rank
United Parcel Service,133747,"Fleet Owner Top 500 Private Fleets 2020, CCJ Top 250 2020, Automotive Fleet Top 300 Commercial Fleets 2021",1
FedEx Corp.,127551,"Fleet Owner Top 500 Private Fleets 2020, CCJ Top 250 2020, Automotive Fleet Top 300 Commercial Fleets 2021",2
AT&T,60043,"Fleet Owner Top 500 Private Fleets 2020, CCJ Top 250 2020, Automotive Fleet Top 300 Commercial Fleets 2021",3
Quanta Services Inc.,53000,"Fleet Owner Top 500 Private Fleets 2020, CCJ Top 250 2020, Automotive Fleet Top 300 Commercial Fleets 2021",4
PepsiCo Inc.,51000,"Fleet Owner Top 500 Private Fleets 2020, CCJ Top 250 2020, Automotive Fleet Top 300 Commercial Fleets 2021",5
Comcast,34811,"Fleet Owner Top 500 Private Fleets 2020, CCJ Top 250 2020, Automotive Fleet Top 300 Commercial Fleets 2021",6
Charter Communications Inc.,33950,"Fleet Owner Top 500 Private Fleets 2020, CCJ Top 250 2020, Automotive Fleet Top 300 Commercial Fleets 2021",7
Waste Management,29901,"Fleet Owner Top 500 Private Fleets 2020, CCJ Top 250 2020, Automotive Fleet Top 300 Commercial Fleets 2021",8
Verizon,22869,"Fleet Owner Top 500 Private Fleets 2020, CCJ Top 250 2020, Automotive Fleet Top 300 Commercial Fleets 2021",9
Johnson Controls,21585,"Fleet Owner Top 500 Private Fleets 2020, CCJ Top 250 2020, Automotive Fleet Top 300 Commercial Fleets 2021",10
