Transit_Agency,Number_of_Buses,Data_Source,Year
MTA New York City Transit/MTA Bus Co.,5825,Metro Magazine Top 100 Transit Bus Fleets,2019
New Jersey Transit Corporation,3003,Metro Magazine Top 100 Transit Bus Fleets,2019
L.A. County Metropolitan Transportation Authority,2320,Metro Magazine Top 100 Transit Bus Fleets,2019
Pace Suburban Bus (Chicago),2129,Metro Magazine Top 100 Transit Bus Fleets,2019
Chicago Transit Authority,1864,Metro Magazine Top 100 Transit Bus Fleets,2019
Washington Metropolitan Area Transit Authority,1682,Metro Magazine Top 100 Transit Bus Fleets,2019
King County Metro Transit (Seattle),1583,Metro Magazine Top 100 Transit Bus Fleets,2019
Southeastern Pennsylvania Transit Authority (Philadelphia),1472,Metro Magazine Top 100 Transit Bus Fleets,2019
Regional Transportation District (Denver),1421,Metro Magazine Top 100 Transit Bus Fleets,2019
Metropolitan Transit Authority of Harris County (Houston),1243,Metro Magazine Top 100 Transit Bus Fleets,2019
