Company,Headquarters,Motorcoaches,Total_Buses_Coaches,Data_Source,Year
First Group America,Cincinnati OH,1700,12500,Metro Magazine,2018
Coach USA/Coach Canada,Paramus NJ / Peterborough Ont.,1667,2130,Metro Magazine,2018
Academy Bus Companies,Hoboken NJ,884,1157,Metro Magazine,2018
Royal Highway Tours,Fairbanks AK,308,327,Metro Magazine,2018
All Aboard America Holdings,Lakewood CO,297,347,Metro Magazine,2018
Silverado Stages,San Luis Obispo CA,259,336,Metro Magazine,2018
Peter Pan Bus Lines,Springfield MA,236,236,Metro Magazine,2018
Martz Group,Wilkes-Barre PA,212,214,Metro Magazine,2018
Arrow Stage Lines,Omaha NB,210,250,Metro Magazine,2018
Mears Transportation,Orlando FL,179,251,Metro Magazine,2018
