Partner,Type,Region,Year,Details
Deloitte Canada,Consulting,Canada,2020,Strategic alliance for product portfolio and integration services
Deloitte Chile,Consulting,Chile,2020,Strategic alliance for product portfolio and integration services
ALD Automotive,Fleet Leasing,Europe,Apr 2021,Preferred partner with Telefónica Tech for vehicle connectivity
Telefónica Tech,Technology,Europe Latin America,Apr 2021,ALD Automotive partnership
Mobileye,Technology,Global,,ADAS integration via IOX-CAN
Seeing Machines,Safety Technology,Global,,Guardian driver safety solution on Marketplace
Continental,Technology,Global,,ContiPressureCheck on Marketplace
J.J. Keller,Compliance,North America,,Encompass Fleet Management System with ELogs
The Ray,Transportation,United States,,Altitude platform customer
Rocky Mountain Institute,Energy/Sustainability,United States,,Altitude platform customer
