Company,Headquarters,Business,Total_Vehicles,Data_Source,Year
Pacific Gas & Electric,San Francisco CA,Electric/Natural Gas,9853,Automotive Fleet and Fleet Owner,2020
Southern California Edison,Rosemead CA,Electric,6600,Automotive Fleet and Fleet Owner,2020
Duke Energy Corp. & Operating Cos.,Charlotte NC,Electric/Natural Gas,6072,Automotive Fleet and Fleet Owner,2020
MDU Resources Group Inc.,Bismarck ND,Electric/Natural Gas,4024,Automotive Fleet and Fleet Owner,2020
Public Service Electric & Gas Company,Newark NJ,Electric/Natural Gas,5903,Automotive Fleet and Fleet Owner,2020
DTE Energy,Detroit MI,Electric,5700,Automotive Fleet and Fleet Owner,2020
Sempra Energy,Monterey Park CA,Electric/Natural Gas,5480,Automotive Fleet and Fleet Owner,2020
American Electric Power,Columbus OH,Electric,5013,Automotive Fleet and Fleet Owner,2020
Dominion Resources,Richmond VA,Electric/Natural Gas,4915,Automotive Fleet and Fleet Owner,2020
NiSource Inc. & Operating Cos.,Goshen IN,Electric/Natural Gas,4843,Automotive Fleet and Fleet Owner,2020
