Company,Headquarters,Total_Vehicles,Data_Source,Year
AT&T,Dallas TX,56152,Automotive Fleet Top 300 Commercial Fleets,2020
Charter Communications,Greenwood Village CO,33950,Automotive Fleet Top 300 Commercial Fleets,2020
Comcast,Philadelphia PA,34108,Automotive Fleet Top 300 Commercial Fleets,2020
Verizon Communications,Basking Ridge NJ,24765,Automotive Fleet Top 300 Commercial Fleets,2020
Cox Enterprises,Atlanta GA,16268,Automotive Fleet Top 300 Commercial Fleets,2020
CenturyLink,Monroe LA,13691,Automotive Fleet Top 300 Commercial Fleets,2020
Windstream Communications,Little Rock AK,4770,Automotive Fleet Top 300 Commercial Fleets,2020
Cablevision Systems Corp.,Bethpage NY,4037,Automotive Fleet Top 300 Commercial Fleets,2020
Dish Network,Englewood CO,3585,Automotive Fleet Top 300 Commercial Fleets,2020
SuddenLink,St. Louis MO,3500,Automotive Fleet Top 300 Commercial Fleets,2020
