Metric,Value,Unit,Year,Source,Notes
Construction industry employment,7400000,jobs,July 2021,Bureau of Labor Statistics,U.S. total
Construction revenues,$1.4 trillion,USD,2020,U.S. Census Bureau,Up from $1.19T in 2016
Private construction share,76,percent,2020,U.S. Census Bureau,Spending breakdown
Public construction share,24,percent,2020,U.S. Census Bureau,Government spending
Residential construction (private),56,percent,2020,U.S. Census Bureau,Share of private construction
Non-residential construction (private),44,percent,2020,U.S. Census Bureau,Share of private construction
On-road vehicles in construction,1500000,vehicles,2021,MRM Report estimate,Excludes plumbing/HVAC/electrical/ready-mix
Industry employers,680000,employers,2021,MRM Report,Over 7 million employees
Annual structure value created,$1.3 trillion,USD,2021,MRM Report,Nearly
Large contractors (trade association members),27000,contractors,2021,MRM Report estimate,At least
GPS fleet management penetration,44,percent,2017,C.J. Driscoll & Associates Survey,2017-18 Survey of construction fleets
Handset-based tracking penetration,11,percent,2017,C.J. Driscoll & Associates Survey,Worker location and time-keeping
