Metric,Value,Unit,Year,Source,Notes
Freight transported by trucking,11840000000,tons,2019,American Trucking Association,Up from 10.7B in 2017
Trucking share of total tonnage,72.5,percent,2019,American Trucking Association,U.S. freight
Trucking industry revenue,$791.7 billion,USD,2019,American Trucking Association,
Trucking share of freight costs,80.4,percent,2019,American Trucking Association,Nation's freight costs
Class 8 trucks operating,3910000,trucks,2019,American Trucking Association,Gross weight over 33000 pounds
Class 8 trucks operating,3810000,trucks,2018,American Trucking Association,
Class 8 trucks projected,3770000,trucks,2020,American Trucking Association,3.3% decline due to COVID recession
Class 8 trucks projected,3840000,trucks,2021,American Trucking Association,Rebound projection
Carriers operating 6 or fewer trucks,91.3,percent,2021,American Trucking Association,Industry fragmentation
Carriers operating 20 or fewer trucks,97.4,percent,2021,American Trucking Association,Industry fragmentation
