Category,Metric,Value,Year,Source
Trucking Industry,Professional Drivers Employed,3600000,2019,www.alltrucking.com
Trucking Industry,Total Transportation Workers,7950000,2019,www.alltrucking.com
Trucking Industry,Percentage of US Workforce,5.8%,2019,www.alltrucking.com
Trucking Industry,Delivery Drivers and Driver/Sales Workers,1500000,2019,www.alltrucking.com
Trucking Industry,Heavy and Tractor-Trailer Drivers,2000000,2019,www.alltrucking.com
For-Hire Carriers,Total For-Hire Carriers,928647,2020-04,American Trucking Association
For-Hire Carriers,Owner-Operators (Approximate),350000,2020-04,American Trucking Association
For-Hire Carriers,Independent Owner-Operators Percentage,11%,2020-04,American Trucking Association
For-Hire Carriers,Unspecified Segment Carriers,84763,2020-04,American Trucking Association
Truckload Market,Class 8 Trucks Operated (TL Basis),1000000,2020,American Trucking Association
Truckload Market,Top 10 Carriers - Power Units,95000,2020,American Trucking Association
Truckload Market,Top 10 Carriers - Trailers,300000,2020,American Trucking Association
Truckload Market,Annual Revenue,307800000000,2020,American Trucking Association
Truckload Market,Revenue Decline Since 2017,13.4%,2020,American Trucking Association
Truckload Market,Percentage of All Trucking Revenues,43.2%,2020,American Trucking Association
Truckload Market,Tonnage (Billion Tons),5.34,2020,American Trucking Association
Truckload Market,Tonnage (Billion Tons),5.5,2018,American Trucking Association
Truckload Market,Average Full Truckload Weight (Pounds),20000,2020,Industry Standard
Truckload Market,MRM Adoption - Top 40 Carriers,100%,2020,C.J. Driscoll & Associates
LTL Market,Number of LTL Trucks in US,250000,2020,Industry Estimate
LTL Market,Average Shipment Weight (Lbs),500-1000,2020,Industry Standard
LTL Market,Top 25 LTL Carriers Revenue Control,80%,2020,ATA US Freight Transportation Forecast
LTL Market,Total LTL Revenue,55300000000,2020,ATA US Freight Transportation Forecast
LTL Market,Manufactured Goods Percentage of Tonnage,85%,2020,American Trucking Association
LTL Market,MRM Solution Adoption Rate,50%+,2020,C.J. Driscoll & Associates
Private Fleet,Total Private Motor Carriers,799342,2020-04,American Trucking Association
Private Fleet,Percentage of Total Carriers,44%,2020,American Trucking Association
Private Fleet,Class 6-8 Trucks Operated,2000000,2020,National Private Fleet Council
Private Fleet,Top 500 Private Fleets - Total Trucks and Tractors,1200000,2020,American Trucking Association
Private Fleet,Cargo Tonnage Transported (Billion Tons),5.3,2020,American Trucking Association
Private Fleet,Percentage of Total Truck Tonnage,49%,2020,American Trucking Association
Private Fleet,Operational Revenue,349000000000,2020,American Trucking Association
Private Fleet,MRM Penetration Rate,50%,2020,C.J. Driscoll & Associates
