Category,Metric,Value,Time_Period,Source,Notes
Company,Founded,2000,,Report,Oakville Ontario Canada
Company,Headquarters,Oakville Ontario Canada,,Report,"2440 Winston Park Drive, L6M 2G2"
Company,U.S. Office Location,Las Vegas,,Report,
Company,Global Employees,1100+,,Report,Just over 1100 employees globally
Company,Las Vegas Office Employees,230+,,Report,Primarily customer support and customer success
Company,Ownership,Private,,Report,Privately-held company
Company,Authorized Resellers,200+,,Report,Worldwide
Company,End-User Customers,"47,000",Approximate,Report,Globally
Company,New Customer Rate,"800-1,000",Monthly,Report,Customers added per month
Company,Average Fleet Size,47,Units,Report,Mean size of Geotab fleet customer
Company,Median Fleet Size,<50,Units,Report,Median size of customers
Units in Service,U.S. Units,"1,879,314",June 2021,Report,
Units in Service,Global Units,"2,465,418",June 2021,Report,
Units in Service,Milestone - 1 Million,February 2018,,Report,First telematics company to achieve 1M connected vehicles on single open platform
Units in Service,Milestone - 2 Million,<2 years after 1M,,Report,Less than two years to reach 2M from 1M
Revenue,U.S. Revenue,$286M,2020,Report,
Revenue,Global Revenue,$357M,2020,Report,
Government,Government Customers,"2,000+",April 2021,Report,Surpassed 2000 government customers
Government,Government Fleet Vehicles,"250,000",,Report,Combined vehicles using Geotab solutions
Markets,Electric Vehicle Makes/Models,100+,,Report,Supported EV makes and models
Markets,EV Charging Events,"3M",Annual,Report,Nearly 3 million charging events per year captured
Data,Data Points Processed,"40B",Daily,Report,More than 40 billion data points each day
Data,Countries Supported,130+,,Report,GO devices used in over 130 countries
Geographic Expansion,International Offices,Multiple,,Report,"UK, France, Germany, Spain, Italy, Australia, Singapore, China, Brazil"
