Partner_Type,Partner_Name,Geography,Relationship_Type,Notes
Fleet Leasing & Management,Element,U.S.,Authorized Reseller,
Fleet Leasing & Management,ARI,U.S.,Authorized Reseller,
Fleet Leasing & Management,Wheels,U.S.,Authorized Reseller,
Fleet Leasing & Management,Enterprise Fleet Management,U.S.,Authorized Reseller,
Fleet Leasing & Management,LeasePlan,Europe,Authorized Reseller,Significant partner
Cellular Carrier,AT&T,U.S.,Network Partner,
Cellular Carrier,T-Mobile/Sprint,U.S.,Network Partner,
Cellular Carrier,Verizon,U.S.,Network Partner,
Cellular Carrier,Bell,Canada,Network Partner,
Cellular Carrier,Rogers,Canada,Network Partner,
Cellular Carrier,TELUS,Canada,Network Partner,
Cellular Carrier,Telefonica,Global,Network Partner,
Cellular Carrier,Telenor,Global,Network Partner,
Cellular Carrier,Vodafone,Global,Network Partner,Important European partner
Cellular Carrier,Telstra,Australia,Network Partner,
Direct Customer,UPS,U.S.,Direct Customer,Handled directly by Geotab
Direct Customer,PepsiCo (Frito Lay),U.S.,Direct Customer,Handled directly by Geotab
Government,GSA Fleet,U.S. Federal,Contract Customer,217K non-tactical federal vehicles over 5 years
Government,California State/Municipal/County,California,Blanket Purchase Agreement,May 2019
Reseller Channel,Cellular Carriers,Multiple,Important Channel,
Reseller Channel,Fleet Management Resellers,Multiple,Reseller,
Reseller Channel,Fuel Card Providers,Multiple,Reseller,
Reseller Channel,Strategic Fleet Partners,Multiple,Reseller,
Reseller Channel,Local Representatives,Multiple,Reseller,
