Metric,Value,Year,Source,Notes
Private Motor Carriers on File with US DOT,799342,2020-04,American Trucking Association,
Private Fleet Percentage of Total Carriers,44%,2020,American Trucking Association,Approximate
Class 6-8 Trucks Operated by Private Fleets,2000000,2020,National Private Fleet Council,Used to transport freight
Top 500 Private Fleets - Total Trucks and Tractors,1200000,2020,American Trucking Association,Approximate
Private Trucking Tonnage,5.3 billion tons,2020,American Trucking Association,
Private Trucking Percentage of Total Truck Tonnage,49%,2020,American Trucking Association,
Private Trucking Revenue,$349 billion,2020,American Trucking Association,Estimated
Manufactured Goods Percentage of Private Fleet Tonnage,50%,2020,Report,Approximately
Non-Manufactured Goods Percentage,50%,2020,Report,Balance
MRM Penetration - Private Delivery Fleets,50%,2020,C.J. Driscoll & Associates,Estimated and increasing
