Category,Event,Date,Value,Details,Source
Acquisition,Hughes Telematics,July 2012,$612M,Verizon Communications acquired Hughes for entry into commercial telematics,Report
Pre-Acquisition,Networkfleet Units,Mid-2012,"130,000",Approximate units at time of Hughes acquisition,Report
Growth Period,Networkfleet Units,Late 2015,"380,000",Nearly 3x growth over 3 years,Report
Acquisition,Telogis,2016,$900M,Approximately 6x annual revenue,Report
Telogis Units,Pre-Acquisition,2016,"250K-300K",GPS fleet management units in U.S.,Report
Telogis OEM Business,Percentage,October 2015,20%,Factory-installed OEM solutions as % of business,Report
Acquisition,Fleetmatics Group PLC,August 2016,$2.4B,$60 per share in cash,Report
Acquisition Premium,Fleetmatics,August 2016,40%,Premium over NYSE valuation,Report
Fleetmatics,Customers,2016,"42,000+",At time of acquisition,Report
Fleetmatics,Subscriber Units,2016,"826,000",At time of acquisition,Report
Fleetmatics,Employees,2016,"1,200",U.S. and abroad,Report
Fleetmatics,Revenue,2015,$285M,Approximately,Report
Brand Consolidation,Verizon Connect,March 2018,,Combined Networkfleet Telogis Fleetmatics under Verizon Connect brand,Report
Platform Integration,Reveal Platform,Post-2018,,Integrated platforms onto Fleetmatics-developed Reveal platform,Report
Units in Service,U.S.,Estimated,"1,750,000",C.J. Driscoll & Associates estimate,Report
Units in Service,Global,Estimated,"2,200,000",C.J. Driscoll & Associates estimate,Report
Market Position,U.S.,,"#2 by units, #1 by revenue",Second largest by units; largest by revenues,Report
Global Employees,Current,,"3,500+",15 countries,Report
U.S. Retail Stores,Corporate-Owned,December 2020,"1,400",For Reveal Starter distribution,Report
ELD Installations,Estimate,Late 2017,"150,000+",Huge focus particularly late 2017,Report
OEM Partners,Current,,"Ford, GM, Volvo Group, Fiat Chrysler, Mack Trucks, John Deere",,Report
Consumer Automakers,Services,,"Mercedes-Benz, Toyota, Lexus, Volkswagen",Built-in and aftermarket connected car services,Report
