Category,Event_Metric,Date,Value,Details,Source
Company,Incorporated,2000,,,Report
Company,Headquarters,,"Toronto, ON, Canada","WaterPark Place, 88 Queens Quay West, Suite 200",Report
Company,Global Staff Count,,"800",Approximately,Report
Company,Former Name,,"Agilis Systems",Changed to Fleet Complete in spring 2021,Report
Funding,Investor,2014,,Madison Dearborn Partners,Private equity firm based in Chicago,Report
Funding,Equity Acquisition,November 2018,,Ontario Teachers',Canada's largest single-profession pension plan; acquired equity from Madison Dearborn,Report
Units in Service,Global Total,,"640,000",Approximately,Report
Units in Service,North America,,"430,000",Approximately,Report
Units in Service,U.S.,,"330,000+",Over 330000 in U.S.,Report
Customers,Businesses and Government Organizations,,"40,000+",Globally,Report
Geographic Presence,Countries Served,,"15","Canada, U.S., Australia, Netherlands, Belgium, Luxemburg, Austria, Germany, Denmark, Sweden, Finland, Norway, Estonia, Latvia, Lithuania, Mexico",Report
Geographic Presence,German Market,June 2021,,Rolled out in German market,Report
Market Position,Canada,,Largest,Largest fleet telematics provider in Canadian market based on units in service,Report
Acquisitions,ITmobile,Netherlands,,Established regional telematics company,Report
Acquisitions,Securatrak,Australia,,Established regional telematics company,Report
Acquisitions,BigRoad,2017,,Waterloo Ontario; leading HOS and regulatory compliance provider,Report
Acquisitions,Ecofleet,Scandinavia and Baltics,,Established regional telematics company,Report
Acquisitions,CSI,Mexico,,Established regional telematics company,Report
Technology,3G Units,,Small number,Making aggressive effort to convert to 4G,Report
Employees,Growth,2015-Present,"70 to 150+",Growth from 70 employees in 2015 to 150+ today,Report
