Category,Level,Total_Vehicles,Year,Source
Federal,Total Worldwide,645000,2021,Government Services Administration
State,Total All States,525000,2021,Government Fleet
County_Municipal,Total,2600000,2021,Federal Highway Administration
Total,Federal State Local,3770000,2021,Combined Sources
Federal,Civilian Agencies,245950,2020,Government Services Administration
Federal,Military Agencies,173429,2020,Government Services Administration
Federal,US Postal Service,225668,2020,Government Services Administration
State,Texas,32224,2020,Texas State Government
State,Pennsylvania,7529,2017,Pennsylvania State Government
State,Louisiana (with telematics),10543,2020,State of Louisiana
State,Utah Division of Fleet Operations,4500,2020,Utah State Government
County_Municipal,New York NY,30000,2020,NYC Government
County_Municipal,Chicago IL,13000,2020,Chicago Government
County_Municipal,Houston TX,12000,2020,Houston Government
County_Municipal,Los Angeles CA,11000,2020,LA Government
County_Municipal,Dallas TX,7263,2020,Dallas Government
County_Municipal,Philadelphia PA,6316,2020,Philadelphia Government
County_Municipal,San Francisco with Telematics,4000,2020,San Francisco Government
County_Municipal,San Francisco Telematics Percentage,54%,2020,San Francisco Government
