Rank,Agency,Vehicles,Fiscal_Year,Source_Report,Report_Year
1,U.S. Postal Service,225668,2019,Government Services Administration,2020
2,Department of the Army,61874,2019,Government Services Administration,2020
3,Department of Homeland Security,50810,2019,Government Services Administration,2020
4,Department of the Air Force,48765,2019,Government Services Administration,2020
5,Department of Justice,47286,2019,Government Services Administration,2020
6,Department of the Navy,37481,2019,Government Services Administration,2020
7,Department of Agriculture,37173,2019,Government Services Administration,2020
8,Department of the Interior,30795,2019,Government Services Administration,2020
9,Department of Veterans Affairs,21887,2019,Government Services Administration,2020
10,Department of Energy,14266,2019,Government Services Administration,2020
