Market_Segment,Adoption_Rate,Year,Notes,Source
Truckload Top 40 Carriers,100%,2020,Vehicle-installed GPS fleet management systems,C.J. Driscoll & Associates
Truckload Market,High,1988,First market to adopt MRM/AVL Qualcomm Omnitracs,Industry
LTL Carriers,50%+,2020,Majority vehicle-installed some GPS-equipped phones/tablets,C.J. Driscoll & Associates
Private Delivery Fleets,50%,2020,Market penetration continues to increase,C.J. Driscoll & Associates
Ambulances US,60%+,2020,GPS tracking systems (AVL),Industry Estimate
Ambulances Large Private Providers,Majority,2020,Equipped with AVL,Industry
Ambulances Large Public Providers,Majority,2020,Equipped with AVL,Industry
Law Enforcement Large Agencies,High,2020,Significantly higher than small agencies,Industry Estimate
Law Enforcement All US,~200000 vehicles,2020,Out of 500000+ total patrol vehicles,Industry Estimate
Law Enforcement,40%,2020,Approximate adoption rate,Industry Estimate
NYPD,100%,2020,All active patrol cars,NYPD
Massachusetts State Police,100%,2020,All 3180 cruisers,Massachusetts State Police
Government Agencies Survey,67%+,2019,Have telematics on some vehicles,Government Fleet Magazine
Government Agencies Survey,7%,2019,Have telematics on all on-road vehicles,Government Fleet Magazine
San Francisco Municipal,54%,2020,4000 out of ~7400 vehicles,San Francisco Government
Federal GSA Fleet,217000,2019,Geotab deployment,GSA
Federal Government Agencies,Varying,2020,DOE DHS Marine Corps VA have experience,Industry
Rental Car Avis Budget,125000,2018,PowerFleet deployment,Avis Budget Group
Rental Truck Enterprise,Thousands,2017,Geotab Enterprise Telematics,Enterprise
Rental Truck Penske,50000,2019,Connected fleet solutions platform,Penske
