Metric,Value,Year/Period,Region,Notes
Brand Name,MICHELIN Connected Fleet (MCF),2024,,Rebranded from regional names
Parent Company,Michelin Group,2024,France,Leading tire company
Michelin Group Employees,132500,2024,Global,
Michelin Group Countries,175,2024,Global,
Michelin Tire Manufacturing Sites,67,2024,Global,
Michelin Annual Tire Production,200000000,2024,Global,200 million tires
MCF Headquarters,United Kingdom,2024,,
MCF Total Employees,1500,2024,Global,
MCF Total Customers,51000,2024,Global,
MCF Total Connected Vehicles,687000,2024,Global,
MCF Countries Supported,48,2024,Global,
MCF Europe Units,260000,2024,Europe,Formerly Masternaut - includes Australia South Africa
MCF Americas Units,400000,2024,Americas,Over 400000 - North and South America
MCF Latin America Units,300000,2024,Latin America,Over 300000
MCF North America Revenue USD,27000000,FY2023 Mar,North and Latin America,Fiscal year ending March 2023
Years in Sustainable Mobility,20,2024,,Over 20 years innovation
