Category,Data_Point,Value,Year,Source_Page
Company,Name,CalAmp Corp.,2021,133
Company,Founded,1981,1981,133
Company,Address,"15635 Alton Parkway, Suite 250, Irvine, CA 92618",2021,133
Company,Phone,(888) 3CALAMP,2021,133
Company,Website,www.calamp.com,2021,133
Company,Contact,Kinana Hussain - VP Product Line Management,2021,133
Company,Status,Publicly-held,2021,133
Company,Stock Exchange,NASDAQ,2021,133
Company,Total Employees,882 approximately,2021,133
Office_Locations,Headquarters,"Irvine, California",2021,133
Office_Locations,US Office,"Carlsbad, California",2021,133
Office_Locations,US Office,"Richardson, Texas",2021,133
Office_Locations,US Office,"Eden Prairie, Minnesota",2021,133
Office_Locations,International,"Dublin, Ireland (LoJack Equipment Ireland Limited)",2021,133
Office_Locations,International,"Milan, Italy (LoJack Italia SRL)",2021,133
Office_Locations,International,"London, UK",2021,133
Office_Locations,Regional Support,Latin America and Asia Pacific,2021,133
Business_Segments,Telematics Systems,Current focus,2021,133
Business_Segments,Software and Subscription Services (SaaS),Current focus,2021,133
Business_Segments,Satellite,Closed August 2016,2016,133
Market,Products Installed (Global),20 million+,2021,133
Market,OBD-II Devices Shipped,4 million+,2021,133
Market,Market Position - Hardware,Largest US supplier,2021,133
Market,SaaS Subscribers (US),1.3 million approximately,2021,135
Market,Telecom/Utilities/Oil & Gas/Field Service/Gov Subscribers,100000 estimated,2021,135
Market,Trailer Operators,110000,2021,135
Market,Heavy Construction Equipment,35000,2021,135
Market,Cargo Monitoring,40000,2021,135
Market,LenderOutlook (Buy-Here-Pay-Here),500000-600000,2021,135
Financials,FY 2021 Total Revenue,$308.6 million,2021,135
Financials,FY 2020 Total Revenue,$366 million,2020,135
Financials,FY 2021 Net Loss,$21.2 million,2021,135
Financials,FY Q1 2022 SaaS Revenue,$35.0 million (record),2022,135
Financials,SaaS as % of Consolidated Revenue,44.0%,2022,135
Financials,SaaS YoY Growth,26.2%,2022,135
Financials,FY Q1 2022 Telematics Products Revenue,$44.6 million,2022,135
Financials,Telematics Products Sequential Change,-5.6%,2022,135
Financials,Largest Customer Sales (FY Q1 2022),$17.3 million (Caterpillar),2022,135
Financials,Largest Customer YoY Growth,58.9%,2022,135
Acquisitions,Wireless Matrix,Acquired 2013,2013,134
Acquisitions,Wireless Matrix - Founded,1991,1991,134
Acquisitions,Wireless Matrix - Units at Acquisition,50000 approximately,2013,134
Acquisitions,Radio Satellite Integrators (RSI),"Acquired December 2013, Torrance CA",2013,134
Acquisitions,Crashboxx,Acquired April 2015,2015,134
Acquisitions,LoJack Corporation,Acquired March 2016 for $134M,2016,134
Acquisitions,LoJack - Countries,30+ countries,2016,134
Acquisitions,LoJack - Regions,"North America, South America, Europe, Africa",2016,134
Acquisitions,TRACKER,"Acquired 2019 (UK)",2019,134
Acquisitions,Car Track,"Acquired 2019 (LoJack Mexicana)",2019,134
Acquisitions,Synovia Solutions,"Acquired April 2019 for ~$50M cash",2019,134
Acquisitions,Synovia - SaaS Revenue,$28 million+,2019,134
Acquisitions,Synovia - EBITDA,$30 million approximately,2019,134
Acquisitions,Synovia - Growth,Double-digit,2019,134
Divestiture,LoJack US SVR Business,Sold to Spireon March 2021,2021,134
Divestiture,LoJack - Retained,LoJack International (SaaS),2021,134
Divestiture,LoJack - IP Rights,Patents and trademarks retained,2021,134
Products,iOn Suite,Launched 2019,2019,135
Products,FleetOutlook,Superseded by iOn Suite,2019,135
Products,GovOutlook,Superseded by iOn Suite,2019,135
Products,AssetOutlook,Superseded by iOn Suite,2019,135
Products,Crashboxx Vehicle Risk Management,Launched 2017,2017,134
Products,SC iOn,Supply chain visibility solution,2021,134
Technology,Platform,Edge computing devices ecosystem,2021,133
Technology,Product Types,"Vehicle/asset trackers, gateways, routers, video devices, sensors",2021,133
Partnerships,Caterpillar,Development agreement 2013,2013,135
Partnerships,Caterpillar Status,Largest customer,2021,135
Target_Markets,Automotive,Target,2021,133
Target_Markets,Insurance,Target,2021,133
Target_Markets,Transportation and Logistics,Target,2021,133
Target_Markets,Government,Target,2021,133
Target_Markets,Construction,Target,2021,133
Target_Markets,Telecom,Target,2021,135
Target_Markets,Utilities,Target,2021,135
Target_Markets,Oil & Gas,Target,2021,135
Target_Markets,Field Service,Target,2021,135
Market_Segments,Service Fleets,Purpose-built,2019,135
Market_Segments,Construction Fleets,Purpose-built,2019,135
Market_Segments,Government Fleets,Purpose-built,2019,135
