Category,Subcategory,Description,Source_Page
Satellite Providers,Iridium NEXT,Global satellite constellation for M2M and fleet tracking,101
Satellite Providers,Globalstar,Satellite IoT solutions for fleet and asset tracking,102
GPS Fleet Management,100000+ Units,Large suppliers serving local fleets,103-104
MRM System Suppliers,Vehicle-Installed GPS,Fleet and asset management systems,103
MRM System Suppliers,Driver Behavior Management,Driver behavior management systems,103
MRM System Suppliers,Cellular Handset-Based,Mobile applications,103
Vertical Markets,Trucking and Logistics,MRM solutions for trucking sector,103
Vertical Markets,Commercial Vehicle OEM,Telematics solutions,103
Vertical Markets,Supply Chain Visibility,Platforms for supply chain,103
Vertical Markets,Taxi Fleets,MRM solutions for taxi services,103
Vertical Markets,Public Transit Fleets,Transit fleet solutions,103
Vertical Markets,Public Safety Fleets,Emergency services solutions,103
Vertical Markets,Oil and Gas,Energy sector solutions,103
Field Service Management,FSM Solutions,Suppliers of field service management,103
Trailer and Container Monitoring,Monitoring Systems,Systems for trailers and containers,103
Heavy Equipment,Construction Equipment,MRM solutions for heavy equipment,103
Equipment Suppliers,Hardware Suppliers,Mobile resource management equipment,103
